Points,Soak,Assured,t,rH,Q
,,,HG2500.set_saturation_temperature_setpoint,HG2500.set_rh_pctc_setpoint,HG2500.set_flow_rate_setpoint
,,,HG2500.read_sat_temp_setpoint,HG2500.read_rh_pctc_setpoint,HG2500.read_flowrate_setpoint
,,,HG2500.read_sat_temp,HG2500.read_rh_pctc,HG2500.read_flowrate
1,300,0,0.5,20,15
2,50,0,0.5,35,15
3,50,0,0.5,50,15
4,50,0,0.5,65,15
5,50,0,0.5,80,15
6,90,0,0.5,95,15
7,50,0,0.5,80,15
8,50,0,0.5,65,15
9,50,0,0.5,50,15
10,50,0,0.5,35,15
11,90,0,0.5,20,15
12,180,0,21,20,15
13,50,0,21,35,15
14,50,0,21,50,15
15,50,0,21,65,15
16,50,0,21,80,15
17,90,0,21,95,15
18,50,0,21,80,15
19,50,0,21,65,15
20,50,0,21,50,15
21,50,0,21,35,15
22,90,0,21,20,15
23,180,0,40,20,15
24,50,0,40,35,15
25,50,0,40,50,15
26,50,0,40,65,15
27,50,0,40,80,15
28,90,0,40,95,15
29,50,0,40,80,15
30,50,0,40,65,15
31,50,0,40,50,15
32,50,0,40,35,15
33,90,0,40,20,15
34,180,0,60,20,15
35,50,0,60,35,15
36,50,0,60,50,15
37,50,0,60,65,15
38,50,0,60,80,15
39,90,0,60,95,15
40,50,0,60,80,15
41,50,0,60,65,15
42,50,0,60,50,15
43,50,0,60,35,15
44,90,0,60,20,15
45,300,0,40,20,15
46,50,0,40,35,15
47,50,0,40,50,15
48,50,0,40,65,15
49,50,0,40,80,15
50,90,0,40,95,15
51,50,0,40,80,15
52,50,0,40,65,15
53,50,0,40,50,15
54,50,0,40,35,15
55,90,0,40,20,15
56,300,0,21,20,15
57,50,0,21,35,15
58,50,0,21,50,15
59,50,0,21,65,15
60,50,0,21,80,15
61,90,0,21,95,15
62,50,0,21,80,15
63,50,0,21,65,15
64,50,0,21,50,15
65,50,0,21,35,15
66,90,0,21,20,15
