Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
1,120,0,0,10,20
2,120,0,-10,10,20
3,60,0,-10,38,20
4,60,0,-10,67,20
5,90,0,-10,95,20
6,60,0,-10,67,20
7,60,0,-10,38,20
8,60,0,-10,10,20
9,120,0,10,10,20
10,60,0,10,38,20
11,60,0,10,67,20
12,90,0,10,95,20
13,60,0,10,67,20
14,60,0,10,38,20
15,60,0,10,10,20
16,120,0,30,10,20
17,60,0,30,38,20
18,60,0,30,67,20
19,90,0,30,95,20
20,60,0,30,67,20
21,60,0,30,38,20
22,60,0,30,10,20
23,180,0,50,10,20
24,60,0,50,38,20
25,60,0,50,67,20
26,90,0,50,95,20
27,60,0,50,67,20
28,60,0,50,38,20
29,60,0,50,10,20
30,120,0,70,10,20
31,60,0,70,38,20
32,60,0,70,67,20
33,90,0,70,95,20
34,60,0,70,67,20
35,60,0,70,38,20
36,60,0,70,10,20
37,120,0,35,10,20
38,60,0,35,18.84,20
39,60,0,35,34.38,20
40,90,0,35,60.94,20
41,60,0,35,34.38,20
42,60,0,35,18.84,20
43,60,0,35,10,20
44,120,0,21,10,20
45,60,0,21,22.05,20
46,60,0,21,46.29,20
47,90,0,21,92.93,20
48,60,0,21,46.29,20
49,60,0,21,22.05,20
50,60,0,21,10,20
