Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_rh,HG2900.read_q
19,90,0,50,67,20
20,90,0,50,38,20
21,90,0,50,10,20
22,120,0,70,10,20
23,90,0,70,38,20
24,90,0,70,67,20
25,90,0,70,95,20
26,90,0,70,67,20
27,90,0,70,38,20
28,90,0,70,10,20
29,120,0,50,10,20
30,90,0,50,38,20
31,90,0,50,67,20
32,90,0,50,95,20
33,90,0,50,67,20
34,90,0,50,38,20
35,90,0,50,10,20
36,120,0,30,10,20
37,90,0,30,38,20
38,90,0,30,67,20
39,90,0,30,95,20
40,90,0,30,67,20
41,90,0,30,38,20
42,90,0,30,10,20
43,180,0,10,10,20
44,90,0,10,38,20
45,90,0,10,67,20
46,90,0,10,95,20
47,90,0,10,67,20
48,90,0,10,38,20
49,90,0,10,10,20
50,180,0,-10,10,20
51,90,0,-10,38,20
52,90,0,-10,67,20
53,90,0,-10,95,20
54,90,0,-10,67,20
55,90,0,-10,38,20
56,90,0,-10,10,20
57,180,0,0,10,20
58,90,0,0,38,20
59,90,0,0,67,20
60,90,0,0,95,20
61,90,0,0,67,20
62,90,0,0,38,20
63,90,0,0,10,20
64,180,0,21,10,20
65,90,0,21,38,20
66,90,0,21,67,20
67,90,0,21,95,20
68,90,0,21,67,20
69,90,0,21,38,20
70,90,0,21,10,20
