210917cDP_MSL_CMHx3.csv,,,,,
Points,Soak,Assured,T_2900,DP_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_dp,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_dp_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_dp_sp,HG2900.read_q
1,3,0,70,48.00,18
2,35,0,70,48.00,18
3,90,0,70,53.00,18
4,90,0,70,58.00,18
5,90,0,70,63.00,18
6,90,0,70,69.00,18
7,90,0,70,53.00,18
8,180,0,60,53.00,18
9,90,0,60,43.00,18
10,90,0,60,33.00,18
11,180,0,40,33.00,18
12,90,0,40,23.00,18
13,90,0,40,13.00,18
14,180,0,20,13.00,18
15,90,0,20,3.00,18
16,90,0,20,-7.00,18
17,90,0,20,-7.00,18
18,90,0,20,13.00,18
