a210919aDP_MSL_CMHx3
Points,Soak,Assured,T_2900,DP_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_dp,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_dp_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_dp_sp,HG2900.read_q
1,4,0,-10,-34.24,18
2,180,0,-10,-28.81,18
3,90,0,-10,-23.34,18
4,90,0,-10,-17.82,18
5,90,0,-10,-12.24,18
6,90,0,-10,-15.59,18
7,90,0,-10,-18.97,18
8,180,0,10,-13.45,18
9,90,0,10,-7.88,18
10,90,0,10,-2.26,18
11,90,0,10,3,18
12,90,0,10,8,18
13,90,0,10,-2.26,18
14,90,0,10,-2.26,18
15,180,0,30,3,18
16,90,0,30,8,18
17,90,0,30,13,18
18,90,0,30,18,18
19,90,0,30,18,18
20,90,0,30,18,18
21,90,0,30,18,18
22,90,0,30,23,18
23,90,0,30,28,18
24,90,0,30,13,18
25,90,0,30,13,18
26,180,0,50,18,18
27,90,0,50,23,18
28,3,0,50,23,18
29,90,0,50,23,18
30,90,0,50,28,18
31,90,0,50,33,18
32,90,0,50,38,18
33,90,0,50,43,18
34,90,0,50,48,18
35,90,0,50,28,18
36,180,0,70,33,18
37,90,0,70,38,18
38,90,0,70,43,18
39,90,0,70,48,18
40,90,0,70,53,18
41,90,0,70,58,18
42,90,0,70,63,18
43,90,0,70,69,18
44,90,0,70,53,18
45,90,0,70,53,18
46,180,0,60,43,18
47,90,0,60,33,18
48,90,0,60,33,18
49,180,0,40,23,18
50,90,0,40,13,18
51,90,0,40,13,18
,180,0,20,3,18
,90,0,20,-7.88,18
,90,0,20,14.46,18
