Points,Soak,Assured,SetT,SetRH,Flow
,,,HG2500.set_saturation_temperature_setpoint,HG2500.set_rh_pctc_setpoint,HG2500.set_flow_rate_setpoint
54,50,1,40,27,15
55,90,1,40,10,15
56,240,1,21,10,15
57,50,1,21,27,15
58,50,1,21,44,15
59,50,1,21,61,15
60,50,1,21,78,15
61,90,1,21,95,15
62,50,1,21,78,15
63,50,1,21,61,15
64,50,1,21,44,15
65,50,1,21,27,15
66,90,1,21,10,15
67,240,1,0.1,10,15
68,50,1,0.1,27,15
69,50,1,0.1,44,15
70,50,1,0.1,61,15
71,50,1,0.1,78,15
72,90,1,0.1,95,15
73,50,1,0.1,78,15
74,50,1,0.1,61,15
75,50,1,0.1,44,15
76,50,1,0.1,27,15
77,90,1,0.1,10,15
