a211103_AirLab.csv,,,,
Points,Soak,Assured,FP_3900,Q_3900
,,,HG3900.set_fp,HG3900.set_q
1,2,0,1,1.5
2,240,0,1,1
3,1080,0,-60,1
4,1080,0,-55,1
5,60,0,-50,0.5
6,60,0,-50,0.1
7,120,0,-40,3
8,60,0,-40,2.5
9,60,0,-40,2
10,60,0,-40,1.5
11,60,0,-40,1
12,60,0,-40,0.5
13,60,0,-40,0.1
14,120,0,-30,3
15,60,0,-30,2.5
16,60,0,-30,2
17,60,0,-30,1.5
18,60,0,-30,1
19,60,0,-30,0.5
20,60,0,-30,0.1
21,120,0,-20,2.5
22,60,0,-20,2
23,60,0,-20,1.5
24,60,0,-20,1
25,60,0,-20,0.5
26,60,0,-20,0.1
27,120,0,-10,2.5
28,60,0,-10,2
29,60,0,-10,1.5
30,60,0,-10,1
31,60,0,-10,0.5
32,60,0,-10,0.1
33,120,0,0,2.5
34,60,0,0,2
35,60,0,0,1.5
36,60,0,0,1
37,60,0,0,0.5
38,60,0,0,0.1
39,120,0,12,2.5
40,60,0,12,2
41,60,0,12,1.5
42,60,0,12,1
43,60,0,12,0.5
44,60,0,12,0.1
