a220117_BRANZ_HMP77_bath.csv,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,t_PC200
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,PC200.SS
1,30,4,0.1,10,15,-0.25
2,60,0,0.1,26.8,15,-0.25
3,60,0,0.1,43.68,15,-0.25
4,60,0,0.1,60.55,15,-0.25
5,60,0,0.1,77.43,15,-0.25
6,90,0,0.1,94.3,15,-0.25
7,60,0,0.1,77.43,15,-0.25
8,60,0,0.1,60.55,15,-0.25
9,60,0,0.1,43.68,15,-0.25
10,60,0,0.1,26.8,15,-0.25
11,60,0,0.1,10,15,-0.25
12,300,4,0.1,10,15,-5.25
13,60,0,0.1,17.68,15,-5.25
14,60,0,0.1,28.71,15,-5.25
15,60,0,0.1,39.81,15,-5.25
16,60,0,0.1,50.9,15,-5.25
17,90,0,0.1,62,15,-5.25
18,60,0,0.1,50.9,15,-5.25
19,60,0,0.1,39.81,15,-5.25
20,60,0,0.1,28.71,15,-5.25
21,60,0,0.1,17.68,15,-5.25
22,60,0,0.1,10,15,-5.25
23,300,4,0.1,10,15,-10.25
24,60,0,0.1,11.4,15,-10.25
25,60,0,0.1,18.58,15,-10.25
26,60,0,0.1,25.75,15,-10.25
27,60,0,0.1,32.93,15,-10.25
28,90,0,0.1,40.11,15,-10.25
29,60,0,0.1,32.93,15,-10.25
30,60,0,0.1,25.75,15,-10.25
31,60,0,0.1,18.58,15,-10.25
32,60,0,0.1,11.4,15,-10.25
33,60,0,0.1,10,15,-10.25
34,300,4,0.1,10,15,-15.25
35,60,0,0.1,11.81,15,-15.25
36,60,0,0.1,16.38,15,-15.25
37,60,0,0.1,20.94,15,-15.25
38,90,0,0.1,25.51,15,-15.25
39,60,0,0.1,20.94,15,-15.25
40,60,0,0.1,16.38,15,-15.25
41,60,0,0.1,11.81,15,-15.25
42,60,0,0.1,10,15,-15.25
43,300,4,0.1,10,15,-18.25
44,60,0,0.1,12.38,15,-18.25
45,60,0,0.1,15.83,15,-18.25
46,90,0,0.1,19.28,15,-18.25
47,60,0,0.1,15.83,15,-18.25
48,60,0,0.1,12.38,15,-18.25
49,60,0,0.1,10,15,-18.25
50,180,4,0.1,10,15,-10.25
51,60,0,0.1,11.4,15,-10.25
52,60,0,0.1,18.58,15,-10.25
53,60,0,0.1,25.75,15,-10.25
54,60,0,0.1,32.93,15,-10.25
55,90,0,0.1,40.11,15,-10.25
56,60,0,0.1,32.93,15,-10.25
57,60,0,0.1,25.75,15,-10.25
58,60,0,0.1,18.58,15,-10.25
59,60,0,0.1,11.4,15,-10.25
60,60,0,0.1,10,15,-10.25
61,180,4,0.1,10,15,-0.25
62,60,0,0.1,26.8,15,-0.25
63,60,0,0.1,43.68,15,-0.25
64,60,0,0.1,60.55,15,-0.25
65,60,0,0.1,77.43,15,-0.25
66,90,0,0.1,94.3,15,-0.25
67,60,0,0.1,77.43,15,-0.25
68,60,0,0.1,60.55,15,-0.25
69,60,0,0.1,43.68,15,-0.25
70,60,0,0.1,26.8,15,-0.25
71,60,0,0.1,10,15,-0.25
