a220211_FPH_Optidew.csv,,,,,,
Points,Soak,Assured,t_2500,rh_pt_2500,rh_p_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_rh_pc,HG2500.set_q
1,50,0,21,27,,15
2,100,0,21,,27,15
3,20,0,21,44,,15
4,40,0,21,,44,15
5,20,0,21,61,,15
6,40,0,21,,61,15
7,20,0,21,78,,15
8,40,0,21,,78,15
9,30,0,21,95,,15
10,60,0,21,,95,15
11,50,0,29,16.5,,15
12,100,0,29,,16.5,15
13,20,0,29,27,,15
14,40,0,29,,27,15
15,20,0,29,44,,15
16,40,0,29,,44,15
17,20,0,29,61,,15
18,40,0,29,,61,15
19,20,0,29,78,,15
20,40,0,29,,78,15
21,30,0,29,95,,15
22,60,0,29,,95,15
23,50,0,38,10,,15
24,100,0,38,,10,15
25,20,0,38,27,,15
26,40,0,38,,27,15
27,20,0,38,44,,15
28,40,0,38,,44,15
29,20,0,38,61,,15
30,40,0,38,,61,15
31,20,0,38,78,,15
32,40,0,38,,78,15
33,30,0,38,95,,15
34,60,0,38,,95,15
35,50,0,47,10,,15
36,100,0,47,,10,15
37,20,0,47,27,,15
38,40,0,47,,27,15
39,20,0,47,44,,15
40,40,0,47,,44,15
41,20,0,47,61,,15
42,40,0,47,,61,15
43,20,0,47,78,,15
44,40,0,47,,78,15
45,30,0,47,95,,15
46,60,0,47,,95,15
47,300,0,21,27,,15
48,120,0,21,,27,15
49,20,0,21,44,,15
50,40,0,21,,44,15
51,20,0,21,61,,15
52,40,0,21,,61,15
53,20,0,21,78,,15
54,40,0,21,,78,15
55,30,0,21,95,,15
56,60,0,21,,95,15
57,20,0,21,27,,15
58,300,0,21,,27,15
