a220505_metservice_vaisala.csv,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1
1,50,0,-5,20,15,-5
2,50,0,-5,32,15,-5
3,50,0,-5,54,15,-5
4,50,0,-5,76,15,-5
5,90,0,-5,95,15,-5
6,50,0,-5,76,15,-5
7,50,0,-5,54,15,-5
8,50,0,-5,32,15,-5
9,50,0,-5,20,15,-5
10,180,0,5,20,15,-10
11,180,0,-10,20,15,-10
12,50,0,-10,32,15,-10
13,50,0,-10,54,15,-10
14,90,0,-10,76,15,-10
15,50,0,-10,95,15,-10
16,50,0,-10,76,15,-10
17,50,0,-10,54,15,-10
18,50,0,-10,32,15,-10
19,50,0,-10,20,15,-10
20,180,0,5,20,15,-10
20,130,0,-5,20,15,-5
