a220506_Spectrum_473,,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,,
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,,
1,180,0,21,10,15,,
2,50,0,21,27,15,,
3,50,0,21,44,15,,
4,50,0,21,61,15,,
5,50,0,21,78,15,,
6,90,0,21,95,15,,
7,50,0,21,78,15,,
8,50,0,21,61,15,,
9,50,0,21,44,15,,
10,50,0,21,27,15,,
11,90,0,21,10,15,,
12,300,0,0.5,10,15,,
13,50,0,0.5,27,15,,
14,50,0,0.5,44,15,,
15,50,0,0.5,61,15,,
16,50,0,0.5,78,15,,
17,90,0,0.5,95,15,,
18,50,0,0.5,78,15,,
19,50,0,0.5,61,15,,
20,50,0,0.5,44,15,,
21,50,0,0.5,27,15,,
22,90,0,0.5,10,15,,
23,180,0,17.5,10,15,,
24,50,0,17.5,27,15,,
25,50,0,17.5,44,15,,
26,50,0,17.5,61,15,,52.5
27,50,0,17.5,78,15,,
28,90,0,17.5,95,15,,
29,50,0,17.5,78,15,,
30,50,0,17.5,61,15,,
31,50,0,17.5,44,15,,
32,50,0,17.5,27,15,,
33,90,0,17.5,10,15,,
34,180,0,35,10,15,,
35,50,0,35,27,15,,
36,50,0,35,44,15,,
37,50,0,35,61,15,,
38,50,0,35,78,15,,
39,90,0,35,95,15,,
40,50,0,35,78,15,,
41,50,0,35,61,15,,
42,50,0,35,44,15,,
43,50,0,35,27,15,,
44,90,0,35,10,15,,
45,180,0,52.5,10,15,,
46,50,0,52.5,27,15,,
47,50,0,52.5,44,15,,
48,50,0,52.5,61,15,,
49,50,0,52.5,78,15,,
50,90,0,52.5,95,15,,
51,50,0,52.5,78,15,,
52,50,0,52.5,61,15,,
53,50,0,52.5,44,15,,
54,50,0,52.5,27,15,,
55,90,0,52.5,10,15,,
56,180,0,70,10,15,,
57,50,0,70,27,15,,
58,50,0,70,44,15,,
59,50,0,70,61,15,,
60,50,0,70,78,15,,
61,90,0,70,95,15,,
62,50,0,70,78,15,,
63,50,0,70,61,15,,
64,50,0,70,44,15,,
65,50,0,70,27,15,,
66,90,0,70,10,15,,
67,300,0,45,10,15,,
68,50,0,45,27,15,,
69,50,0,45,44,15,,
70,50,0,45,61,15,,
71,50,0,45,78,15,,
72,90,0,45,95,15,,
73,50,0,45,78,15,,
74,50,0,45,61,15,,
75,50,0,45,44,15,,
76,50,0,45,27,15,,
77,90,0,45,10,15,,
78,300,0,21,10,15,,
79,50,0,21,27,15,,
80,50,0,21,44,15,,
81,50,0,21,61,15,,
82,50,0,21,78,15,,
83,90,0,21,95,15,,
84,50,0,21,78,15,,
85,50,0,21,61,15,,
86,50,0,21,44,15,,
87,50,0,21,27,15,,
88,90,0,21,10,15,,
