a220512_metservice_vaisala.csv,,,,"0.2C difference at -10C, 0.05C at 5C, 0C difference at 20C",,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL,,,rhset,rh wanted
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1,,,,
1,120,0,-9,10,10,-10,,,10,10
2,50,0,-9,28.77,10,-10,,,28.77,32
3,50,0,-9,48.55,10,-10,,,48.55,54
4,50,0,-9,68.34,10,-10,,,68.34,76
5,50,0,-9,85.43,10,-10,,,85.43,95
6,50,0,-9,68.34,10,-10,,,68.34,76
7,50,0,-9,48.55,10,-10,,,48.55,54
8,50,0,-9,28.77,10,-10,,,28.77,32
9,50,0,-9,10,10,-10,,,10,10
10,300,0,6,10,15,5,,,10,10
12,50,0,6,29.75,15,5,,,29.75,32
13,50,0,6,50.2,15,5,,,50.2,54
14,50,0,6,70.65,15,5,,,70.65,76
15,90,0,6,88.32,15,5,,,88.32,95
16,50,0,6,70.65,15,5,,,70.65,76
17,50,0,6,50.2,15,5,,,50.2,54
18,50,0,6,29.75,15,5,,,29.75,32
20,90,0,6,10,15,5,,,10,10
22,180,0,21,10,15,20,,,10,10
23,50,0,21,30.08,15,20,,,30.08,32
24,50,0,21,50.77,15,20,,,50.77,54
25,50,0,21,71.54,15,20,,,71.54,76
26,90,0,21,89.31,15,20,,,89.31,95
27,50,0,21,71.54,15,20,,,71.54,76
28,50,0,21,50.77,15,20,,,50.77,54
29,50,0,21,30.08,15,20,,,30.08,32
30,50,0,21,10,15,20,,,10,10
31,360,0,21,10,15,20,,,10,10
32,360,0,21,32.9,15,20,,,10,35
33,1440,0,21,89.31,15,20,,,89.31,95
34,30,0,-9,10,15,20,,,10,10
