a040822_electrical_standards_rotronic,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,300,0,17.5,30,15
2,50,0,17.5,42.5,15
3,50,0,17.5,55,15
4,50,0,17.5,67.5,15
5,90,0,17.5,80,15
6,50,0,17.5,67.5,15
7,50,0,17.5,55,15
8,50,0,17.5,42.5,15
9,50,0,17.5,30,15
10,180,0,21,30,15
11,50,0,21,42.5,15
12,50,0,21,55,15
13,50,0,21,67.5,15
14,90,0,21,80,15
15,50,0,21,67.5,15
16,50,0,21,55,15
17,50,0,21,42.5,15
18,50,0,21,30,15
19,180,0,25,30,15
20,50,0,25,42.5,15
21,50,0,25,55,15
22,50,0,25,67.5,15
23,90,0,25,80,15
24,50,0,25,67.5,15
25,50,0,25,55,15
26,50,0,25,42.5,15
27,50,0,25,30,15
28,360,0,21,30,15
29,50,0,21,42.5,15
30,50,0,21,55,15
31,50,0,21,67.5,15
32,90,0,21,80,15
33,50,0,21,67.5,15
34,50,0,21,55,15
35,50,0,21,42.5,15
36,50,0,21,30,15
37,360,0,17.5,30,15
38,50,0,17.5,42.5,15
39,50,0,17.5,55,15
40,50,0,17.5,67.5,15
41,90,0,17.5,80,15
42,50,0,17.5,67.5,15
43,50,0,17.5,55,15
44,50,0,17.5,42.5,15
45,90,0,17.5,30,15
