a221101_Metservice_6hmp155,,,,,,
Points,Soak,Assured,t_2900,rh_2900,Q_2900,t_bath
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,PC200.SS
1,300,0,20,10,15,20
2,60,0,20,31,15,20
3,60,0,20,52.5,15,20
4,60,0,20,74,15,20
5,90,0,20,95,15,20
6,60,0,20,74,15,20
7,60,0,20,52.5,15,20
8,60,0,20,31,15,20
9,60,0,20,10,15,20
10,300,0,10,10,15,10
11,60,0,10,31,15,10
12,60,0,10,52.5,15,10
13,60,0,10,74,15,10
14,90,0,10,95,15,10
15,60,0,10,74,15,10
16,60,0,10,52.5,15,10
17,60,0,10,31,15,10
18,60,0,10,10,15,10
19,300,0,0.1,10,15,-0.6
20,60,0,0.1,31,15,-0.6
21,60,0,0.1,52.5,15,-0.6
22,60,0,0.1,74,15,-0.6
23,90,0,0.1,95,15,-0.6
24,60,0,0.1,74,15,-0.6
25,60,0,0.1,52.5,15,-0.6
26,60,0,0.1,31,15,-0.6
27,60,0,0.1,10,15,-0.6
28,300,0,-10,10,15,-10.5
29,60,0,-10,31,15,-10.5
30,60,0,-10,52.5,15,-10.5
31,180,0,1,29.27,15,-10.5
32,90,0,1,37.58,15,-10.5
33,60,0,1,29.27,15,-10.5
34,180,0,-10,52.5,15,-10.5
35,60,0,-10,31,15,-10.5
36,60,0,-10,10,15,-10.5
37,300,0,0.1,10,15,-0.6
38,60,0,0.1,31,15,-0.6
39,60,0,0.1,52.5,15,-0.6
40,60,0,0.1,74,15,-0.6
41,90,0,0.1,95,15,-0.6
42,60,0,0.1,74,15,-0.6
43,60,0,0.1,52.5,15,-0.6
44,60,0,0.1,31,15,-0.6
45,60,0,0.1,10,15,-0.6
46,90,0,10,10,15,10
47,60,0,10,31,15,10
48,60,0,10,52.5,15,10
49,60,0,10,74,15,10
50,90,0,10,95,15,10
51,60,0,10,74,15,10
52,60,0,10,52.5,15,10
53,60,0,10,31,15,10
54,60,0,10,10,15,10
55,300,0,20,10,15,20
56,60,0,20,31,15,20
57,60,0,20,52.5,15,20
58,60,0,20,74,15,20
59,90,0,20,95,15,20
60,60,0,20,74,15,20
61,60,0,20,52.5,15,20
62,60,0,20,31,15,20
63,60,0,20,10,15,20
64,300,0,30,10,15,30
65,60,0,30,31,15,30
66,60,0,30,52.5,15,30
67,60,0,30,74,15,30
68,90,0,30,95,15,30
69,60,0,30,74,15,30
70,60,0,30,52.5,15,30
71,60,0,30,31,15,30
72,60,0,30,10,15,30
73,300,0,40,10,15,40
74,60,0,40,31,15,40
75,60,0,40,52.5,15,40
76,60,0,40,74,15,40
77,90,0,40,95,15,40
78,60,0,40,74,15,40
79,60,0,40,52.5,15,40
80,60,0,40,31,15,40
81,60,0,40,10,15,40
82,300,0,30,10,15,30
83,60,0,30,31,15,30
84,60,0,30,52.5,15,30
85,60,0,30,74,15,30
86,90,0,30,95,15,30
87,60,0,30,74,15,30
88,60,0,30,52.5,15,30
89,60,0,30,31,15,30
90,60,0,30,10,15,30
91,300,0,20,10,15,20
92,60,0,20,31,15,20
93,60,0,20,52.5,15,20
94,60,0,20,74,15,20
95,90,0,20,95,15,20
96,60,0,20,74,15,20
97,60,0,20,52.5,15,20
98,60,0,20,31,15,20
99,60,0,20,10,15,20
