a221125_Trescal_473_DP.csv,,,,,
Points,Soak,Assured,T_2500,RH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,180.0,1,0.00,10.17,15.0
2,90.0,1,0.00,16.59,15.0
3,90.0,1,0.00,26.56,15.0
4,90.0,1,0.00,41.76,15.0
5,90.0,1,0.00,64.55,15.0
6,90.0,1,0.00,83.19,15.0
7,90.0,1,0.00,95.02,15.0
8,90.0,1,0.00,41.76,15.0
9,240.0,1,21.00,10.29,15.0
10,90.0,1,21.00,15.90,15.0
11,90.0,1,21.00,24.19,15.0
12,90.0,1,21.00,34.53,15.0
13,90.0,1,21.00,48.60,15.0
14,90.0,1,21.00,67.50,15.0
15,90.0,1,21.00,81.71,15.0
16,90.0,1,21.00,95.19,15.0
17,240.0,1,41.00,11.05,15.0
18,90.0,1,41.00,15.55,15.0
19,90.0,1,41.00,21.60,15.0
20,90.0,1,41.00,29.62,15.0
21,90.0,1,41.00,40.14,15.0
22,90.0,1,41.00,53.79,15.0
23,90.0,1,41.00,71.31,15.0
24,90.0,1,41.00,93.58,15.0
25,90.0,1,41.00,29.62,15.0
26,240.0,1,61.00,11.05,15.0
27,90.0,1,61.00,20.07,15.0
28,90.0,1,61.00,34.91,15.0
29,90.0,1,61.00,58.43,15.0
30,90.0,1,61.00,74.58,15.0
31,90.0,1,61.00,90.11,15.0
32,90.0,1,61.00,94.40,15.0
33,90.0,1,61.00,14.98,15.0
34,300.0,1,41.00,40.14,15.0
35,90.0,1,41.00,15.55,15.0
36,300.0,1,21.00,48.60,15.0
37,90.0,1,21.00,24.19,15.0
38,90.0,1,21.00,10.29,15.0
39,300.0,1,0.00,41.76,15.0
40,90.0,1,0.00,26.56,15.0
41,90.0,1,0.00,16.59,15.0
42,90.0,1,0.00,10.17,15.0
43,240.0,1,21.00,10.29,15.0
44,90.0,1,21.00,24.19,15.0
45,90.0,1,21.00,92.58,15.0
