a221214_fibreoptic.csv,,,,,,
Points,Soak,Assured,T_2900,RH_2900,Q_2900,Julabo_HL
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1
1,240,0,20,10,20,20
2,50,0,20,31,20,20
3,50,0,20,52,20,20
4,50,0,20,74,20,20
5,50,0,20,90,20,20
6,50,0,20,74,20,20
7,50,0,20,52,20,20
8,50,0,20,31,20,20
9,50,0,20,10,20,20
10,180,0,10,10,20,10
11,50,0,10,31,20,10
12,50,0,10,52,20,10
13,50,0,10,74,20,10
14,50,0,10,95,20,10
15,50,0,10,74,20,10
16,50,0,10,52,20,10
17,50,0,10,31,20,10
18,50,0,10,10,20,10
19,180,0,0,10,20,0
20,50,0,0,31,20,0
21,50,0,0,52,20,0
22,50,0,0,74,20,0
23,50,0,0,95,20,0
24,50,0,0,74,20,0
25,50,0,0,52,20,0
26,50,0,0,31,20,0
27,50,0,0,10,20,0
28,180,0,-10,10,20,-10
29,50,0,-10,31,20,-10
30,50,0,-10,52,20,-10
31,180,0,0,74,20,-10
32,50,0,0,95,20,-10
33,50,0,0,74,20,-10
34,180,0,-10,52,20,-10
35,50,0,-10,31,20,-10
36,50,0,-10,10,20,-10
37,180,0,0,10,20,0
38,50,0,0,31,20,0
39,50,0,0,52,20,0
40,50,0,0,74,20,0
41,50,0,0,95,20,0
42,50,0,0,74,20,0
43,50,0,0,52,20,0
44,50,0,0,31,20,0
45,50,0,0,10,20,0
