Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_rh,HG2900.read_q
1,60,0,50,10,40
2,90,0,50,38,40
3,90,0,50,67,40
4,90,0,50,95,40
5,90,0,50,67,40
6,90,0,50,38,40
7,90,0,50,10,40
8,120,0,70,10,40
9,90,0,70,38,40
10,90,0,70,67,40
11,90,0,70,95,40
12,90,0,70,67,40
13,90,0,70,38,40
14,90,0,70,10,40
15,120,0,35,10,40
16,90,0,35,38,40
17,90,0,35,67,40
18,90,0,35,95,40
19,90,0,35,67,40
20,90,0,35,38,40
21,90,0,35,10,40
22,120,0,21,10,40
23,90,0,21,38,40
24,90,0,21,67,40
25,90,0,21,95,40
26,90,0,21,67,40
27,90,0,21,38,40
28,90,0,21,10,40
