Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_rh,HG2900.read_q
1,180,0,10,10,40
2,90,0,10,38,40
3,90,0,10,67,40
4,90,0,10,95,40
5,90,0,10,67,40
6,90,0,10,38,40
7,90,0,10,10,40
8,180,0,30,10,40
9,90,0,30,38,40
10,90,0,30,67,40
11,90,0,30,95,40
12,90,0,30,67,40
13,90,0,30,38,40
14,90,0,30,10,40
15,180,0,50,10,40
16,90,0,50,38,40
17,90,0,50,67,40
18,90,0,50,95,40
19,90,0,50,67,40
20,90,0,50,38,40
21,90,0,50,10,40
22,120,0,70,10,40
23,90,0,70,38,40
24,90,0,70,67,40
25,90,0,70,95,40
26,90,0,70,67,40
27,90,0,70,38,40
28,90,0,70,10,40
29,120,0,50,10,40
30,90,0,50,38,40
31,90,0,50,67,40
32,90,0,50,95,40
33,90,0,50,67,40
34,90,0,50,38,40
35,90,0,50,10,40
36,120,0,30,10,40
37,90,0,30,38,40
38,90,0,30,67,40
39,90,0,30,95,40
40,90,0,30,67,40
41,90,0,30,38,40
42,90,0,30,10,40
43,180,0,10,10,40
44,90,0,10,38,40
45,90,0,10,67,40
46,90,0,10,95,40
47,90,0,10,67,40
48,90,0,10,38,40
49,90,0,10,10,40
50,180,-10,10,10,40
51,90,-10,10,38,40
52,90,-10,10,67,40
53,90,-10,10,95,40
54,90,-10,10,67,40
55,90,-10,10,38,40
56,90,-10,10,10,40
57,180,0,10,10,40
58,90,0,10,38,40
59,90,0,10,67,40
60,90,0,10,95,40
61,90,0,10,67,40
62,90,0,10,38,40
63,90,0,10,10,40
64,180,0,21,10,40
65,90,0,21,38,40
66,90,0,21,67,40
67,90,0,21,95,40
68,90,0,21,67,40
69,90,0,21,38,40
70,90,0,21,10,40
