Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_rh,HG2900.read_q
1,3,0,21,10,20
2,180,0,10,10,20
3,90,0,10,38,20
4,90,0,10,67,20
5,90,0,10,95,20
6,90,0,10,67,20
7,90,0,10,38,20
8,90,0,10,10,20
9,180,0,30,10,20
10,90,0,30,38,20
11,90,0,30,67,20
12,90,0,30,95,20
13,90,0,30,67,20
14,90,0,30,38,20
15,90,0,30,10,20
16,180,0,50,10,20
17,90,0,50,38,20
18,90,0,50,67,20
19,90,0,50,95,20
20,90,0,50,67,20
21,90,0,50,38,20
22,90,0,50,10,20
23,120,0,70,10,20
24,90,0,70,38,20
25,90,0,70,67,20
26,90,0,70,95,20
27,90,0,70,67,20
28,90,0,70,38,20
29,90,0,70,10,20
30,120,0,50,10,20
31,90,0,50,38,20
32,90,0,50,67,20
33,90,0,50,95,20
34,90,0,50,67,20
35,90,0,50,38,20
36,90,0,50,10,20
37,120,0,30,10,20
38,90,0,30,38,20
39,90,0,30,67,20
40,90,0,30,95,20
41,90,0,30,67,20
42,90,0,30,38,20
43,90,0,30,10,20
44,180,0,10,10,20
45,90,0,10,38,20
46,90,0,10,67,20
47,90,0,10,95,20
48,90,0,10,67,20
49,90,0,10,38,20
50,90,0,10,10,20
51,180,-10,10,10,20
52,90,-10,10,38,20
53,90,-10,10,67,20
54,90,-10,10,95,20
55,90,-10,10,67,20
56,90,-10,10,38,20
57,90,-10,10,10,20
58,180,0,10,10,20
59,90,0,10,38,20
60,90,0,10,67,20
61,90,0,10,95,20
62,90,0,10,67,20
63,90,0,10,38,20
64,90,0,10,10,20
65,180,0,21,10,20
66,90,0,21,38,20
67,90,0,21,67,20
68,90,0,21,95,20
69,90,0,21,67,20
70,90,0,21,38,20
71,90,0,21,10,20
