210917a_MSL_CMHx3,,,,,
Points,Soak,Assured,T_2900,RH_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_rh,HG2900.read_q
1,60,0,40,50,20
2,60,0,40,50,20
3,60,0,40,50,20
4,60,0,40,50,20
5,60,0,40,50,20
6,60,0,40,50,20
7,60,0,50,50,20
8,60,0,50,50,20
9,60,0,50,50,20
10,60,0,50,50,20
11,60,0,50,50,20
12,60,0,50,50,20
13,60,0,60,50,20
14,60,0,60,50,20
15,60,0,60,50,20
16,60,0,60,50,20
17,60,0,60,50,20
18,60,0,60,50,20
19,60,0,30,50,20
20,60,0,30,50,20
21,60,0,30,50,20
22,60,0,30,50,20
23,60,0,30,50,20
24,60,0,30,50,20
