210917cDP_MSL_CMHx3,,,,,,,,,,,,,
Points,Soak,Assured,T_2900,RH_2900,Q_2900,,,,,,,,
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,,,,,,,,
,,,HG2900.read_ts_sp,HG2900.read_rh_sp,HG2900.read_q_sp,,,,,,,,
,,,HG2900.read_tc,HG2900.read_rh_sp,HG2900.read_q,,,final td,Point,SetT,SetRH,Flow,Soak
1,180,0,-10,-32.00,18,,-32,-31.99999769,1,-10,11.86076763,18,180
2,90,0,-10,-27.00,18,,-27,-26.99999858,2,-10,19.91121818,18,90
3,90,0,-10,-22.00,18,,-22,-21.99999923,3,-10,32.74324116,18,90
4,90,0,-10,-17.00,18,,-17,-16.99999956,4,-10,52.80759377,18,90
5,90,0,-10,-12.00,18,,-12,-11.99999963,5,-10,83.61705398,18,90
6,90,0,-10,-15.00,18,,-15,-14.9999996,6,-10,63.60154533,18,90
7,180,0,10,-17.00,18,T,-17,-16.99999956,7,10,11.17677054,18,180
8,90,0,10,-12.00,18,,-12,-11.99999963,8,10,17.69761806,18,90
9,90,0,10,-7.00,18,,-7,-6.99999981,9,10,27.54066643,18,90
10,90,0,10,-2.00,18,,-2,-2.000001029,10,10,42.15997223,18,90
11,90,0,10,3.00,18,,3,2.999991825,11,10,61.72376292,18,90
12,90,0,10,8.00,18,,8,7.999996339,12,10,87.36264243,18,90
13,90,0,10,-2.00,18,,-2,-2.000001029,13,10,42.15997223,18,90
14,180,0,30,-2.00,18,T,-2,-2.000001029,14,30,12.18674628,18,180
15,90,0,30,3.00,18,,3,2.999991825,15,30,17.84184851,18,90
16,90,0,30,8.00,18,,8,7.999996339,16,30,25.25301372,18,90
17,90,0,30,13.00,18,,13,13.00000153,17,30,35.25898469,18,90
18,90,0,30,18.00,18,,18,18.00000656,18,30,48.59923083,18,90
19,90,0,30,23.00,18,,23,23.0000102,19,30,66.17443787,18,90
20,90,0,30,28.00,18,,28,28.00001104,20,30,89.06985261,18,90
21,90,0,30,13.00,18,,13,13.00000153,21,30,35.25898469,18,90
22,180,0,50,13.00,18,T,13,13.00000153,22,50,12.11111927,18,180
23,2,0,50,18.00,18,,18,18.00000656,23,50,16.69336443,18,90
24,2,0,50,23.00,18,,23,23.0000102,24,50,22.73027759,18,90
25,3,0,50,28.00,18,,28,28.00001104,25,50,30.59463049,18,90
26,3,0,50,33.00,18,,33,33.00000832,26,50,40.73100041,18,90
27,90,0,50,38.00,18,,38,38.00000148,27,50,53.66445646,18,90
28,90,0,50,43.00,18,,43,42.99999057,28,50,70.00936981,18,90
29,90,0,50,48.00,18,,48,47.99997662,29,50,90.47814692,18,90
30,90,0,50,28.00,18,,28,28.00001104,30,70,12.1020924,18,180
31,90,0,50,33.00,18,,33,33.00000832,31,70,16.11166152,18,90
32,90,0,50,38.00,18,,38,38.00000148,32,70,21.22765337,18,90
33,90,0,50,43.00,18,,43,42.99999057,33,70,27.69309023,18,90
34,180,0,70,12.10,18,T,,,,,,,
35,90,0,70,16.11,18,,,,,,,,
36,90,0,70,21.23,18,,,,,,,,
37,90,0,70,27.69,18,,,,,,,,
38,90,0,70,48.00,18,,48,47.99997662,34,70,35.78977347,18,90
39,90,0,70,53.00,18,,53,52.99996204,35,70,45.84160096,18,90
40,90,0,70,58.00,18,,58,57.99995106,36,70,58.21760187,18,90
41,90,0,70,63.00,18,,63,62.99994982,37,70,73.33448877,18,90
42,90,0,70,69.00,18,,69,68.99997171,38,70,95.75265156,18,90
43,90,0,70,53.00,18,,53,52.99996204,39,70,45.84160096,18,90
44,180,0,60,53.00,18,T,53,52.99996204,40,60,71.72784726,18,180
45,90,0,60,43.00,18,,43,42.99999057,41,60,43.33107275,18,90
46,90,0,60,33.00,18,,33,33.00000832,42,60,25.20973902,18,90
47,180,0,40,33.00,18,T,33,33.00000832,43,40,68.16283163,18,180
48,90,0,40,23.00,18,,23,23.0000102,44,40,38.03884188,18,90
49,90,0,40,13.00,18,,13,13.00000153,45,40,20.26781015,18,90
50,180,0,20,13.00,18,T,13,13.00000153,46,20,64.03187668,18,180
51,90,0,20,3.00,18,,3,2.999991825,47,20,32.40158654,18,90
52,90,0,20,-7.00,18,,-7,-6.99999981,48,20,14.45733774,18,90
53,90,0,20,-7.00,18,,,,,,,,
54,90,0,20,14.46,18,,,,,,,,
