210917dDP_MSL_CMHx3.csv,,,,,
Points,Soak,Assured,T_2900,DP_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_dp,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_dp_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_dp_sp,HG2900.read_q
1,180,0,20,13.00,18
2,90,0,20,3.00,18
3,90,0,20,-7.00,18
4,90,0,20,-7.00,18
5,90,0,20,13.00,18
6,180,0,-10,-32.00,18
7,90,0,-10,-27.00,18
8,90,0,-10,-22.00,18
9,90,0,-10,-17.00,18
10,90,0,-10,-12.00,18
11,90,0,-10,-15.00,18
12,180,0,10,-17.00,18
13,90,0,10,-12.00,18
14,90,0,10,-7.00,18
15,90,0,10,-2.00,18
16,90,0,10,3.00,18
17,90,0,10,8.00,18
18,90,0,10,-2.00,18
19,180,0,30,-2.00,18
20,90,0,30,3.00,18
21,90,0,30,8.00,18
22,90,0,30,13.00,18
23,90,0,30,18.00,18
24,90,0,30,23.00,18
25,90,0,30,28.00,18
26,90,0,30,13.00,18
27,180,0,50,13.00,18
28,90,0,50,18.00,18
29,90,0,50,23.00,18
30,90,0,50,28.00,18
31,90,0,50,33.00,18
32,90,0,50,38.00,18
33,90,0,50,43.00,18
34,90,0,50,48.00,18
35,180,0,70,28.00,18
36,90,0,70,33.00,18
37,90,0,70,38.00,18
38,90,0,70,43.00,18
39,90,0,70,48.00,18
40,90,0,70,53.00,18
41,90,0,70,58.00,18
42,90,0,70,63.00,18
43,90,0,70,69.00,18
44,90,0,70,53.00,18
45,180,0,60,53.00,18
46,90,0,60,43.00,18
47,90,0,60,33.00,18
48,180,0,40,33.00,18
49,90,0,40,23.00,18
50,90,0,40,13.00,18
51,180,0,20,13.00,18
52,90,0,20,3.00,18
53,90,0,20,-7.00,18
