a220509_metservice_vaisala_pressue_check.csv,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1
1,90,0,1,10,15,-5
2,20,0,1,30,15,-5
3,20,0,1,50,15,-5
4,20,0,1,70,15,-5
5,20,0,1,90,15,-5
6,20,0,1,10,15,-5
7,90,0,-10,10,15,-5
8,20,0,-10,30,15,-5
9,20,0,-10,50,15,-5
10,20,0,-10,70,15,-5
11,20,0,-10,90,15,-5
12,20,0,-10,10,15,-5
13,90,0,1,10,30,-5
14,20,0,1,30,30,-5
15,20,0,1,50,30,-5
16,20,0,1,70,30,-5
17,20,0,1,90,30,-5
18,20,0,1,10,30,-5
19,90,0,-10,10,30,-5
20,20,0,-10,30,30,-5
21,20,0,-10,50,30,-5
22,20,0,-10,70,30,-5
23,20,0,-10,90,30,-5
24,20,0,10,10,30,-5
