a220824_Biotec_HMP75,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,t_PC200
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,PC200.SS
1,180,4,21,20,15,21
2,50,0,21,35,15,21
3,50,0,21,50,15,21
4,50,0,21,65,15,21
5,50,0,21,80,15,21
6,90,0,21,95,15,21
7,50,0,21,80,15,21
8,50,0,21,65,15,21
9,50,0,21,50,15,21
10,50,0,21,35,15,21
11,90,0,21,20,15,21
12,180,4,0.1,10,15,0
13,60,0,0.1,22.05,15,0
14,60,0,0.1,46.29,15,0
15,90,0,0.1,92.93,15,0
16,60,0,0.1,46.29,15,0
17,60,0,0.1,22.05,15,0
18,60,0,0.1,10,15,0
19,120,4,0.1,10,15,-10
20,60,0,0.1,16.06,15,-10
21,60,0,0.1,25.34,15,-10
22,90,0,0.1,39.32,15,-10
23,60,0,0.1,25.34,15,-10
24,60,0,0.1,16.06,15,-10
25,60,0,0.1,10,15,-10
26,180,4,0.1,10,15,-19.8
27,60,0,0.1,11.68,15,-19.8
28,60,0,0.1,13.61,15,-19.8
29,90,0,0.1,15.83,15,-19.8
30,60,0,0.1,13.61,15,-19.8
31,60,0,0.1,11.68,15,-19.8
32,60,0,0.1,10,15,-19.8
33,120,4,0.1,10,15,-10
34,60,0,0.1,16.06,15,-10
35,60,0,0.1,25.34,15,-10
36,90,0,0.1,39.32,15,-10
37,60,0,0.1,25.34,15,-10
38,60,0,0.1,16.06,15,-10
39,60,0,0.1,10,15,-10
40,120,4,0.1,10,15,0
41,60,0,0.1,22.05,15,0
42,60,0,0.1,46.29,15,0
43,90,0,0.1,92.93,15,0
44,60,0,0.1,46.29,15,0
45,60,0,0.1,22.05,15,0
46,60,0,0.1,10,15,0
47,180,4,21,20,15,21
48,50,0,21,35,15,21
49,50,0,21,50,15,21
50,50,0,21,65,15,21
51,50,0,21,80,15,21
52,90,0,21,95,15,21
53,50,0,21,80,15,21
54,50,0,21,65,15,21
55,50,0,21,50,15,21
56,50,0,21,35,15,21
57,90,0,21,20,15,21
58,180,4,40,20,15,40
59,50,0,40,35,15,40
60,50,0,40,50,15,40
61,50,0,40,65,15,40
62,50,0,40,80,15,40
63,90,0,40,95,15,40
64,50,0,40,80,15,40
65,50,0,40,65,15,40
66,50,0,40,50,15,40
67,50,0,40,35,15,40
68,90,0,40,20,15,40
69,180,0,60,20,15,60
70,50,0,60,35,15,60
71,50,0,60,50,15,60
72,50,0,60,65,15,60
73,50,0,60,80,15,60
74,90,0,60,95,15,60
75,50,0,60,80,15,60
76,50,0,60,65,15,60
77,50,0,60,50,15,60
78,50,0,60,35,15,60
79,90,0,60,20,15,60
80,180,4,40,20,15,40
81,50,0,40,35,15,40
82,50,0,40,50,15,40
83,50,0,40,65,15,40
84,50,0,40,80,15,40
85,90,0,40,95,15,40
86,50,0,40,80,15,40
87,50,0,40,65,15,40
88,50,0,40,50,15,40
89,50,0,40,35,15,40
90,90,0,40,20,15,40
91,180,4,21,20,15,21
92,50,0,21,35,15,21
93,50,0,21,50,15,21
94,50,0,21,65,15,21
95,50,0,21,80,15,21
96,90,0,21,95,15,21
97,50,0,21,80,15,21
98,50,0,21,65,15,21
99,50,0,21,50,15,21
100,50,0,21,35,15,21
101,90,0,21,20,15,21
