a220824_Biotec_HMP75_low,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,t_PC200
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,PC200.SS
1,120,4,0.1,10,15,0
2,60,0,0.1,22.05,15,0
3,60,0,0.1,46.29,15,0
4,90,0,0.1,92.93,15,0
5,60,0,0.1,46.29,15,0
6,60,0,0.1,22.05,15,0
7,60,0,0.1,10,15,0
8,120,4,0.1,10,15,-5
9,60,0,0.1,18.84,15,-5
10,60,0,0.1,34.38,15,-5
11,90,0,0.1,60.94,15,-5
12,60,0,0.1,34.38,15,-5
13,60,0,0.1,18.84,15,-5
14,60,0,0.1,10,15,-5
15,120,4,0.1,10,15,-10
16,60,0,0.1,16.06,15,-10
17,60,0,0.1,25.34,15,-10
18,90,0,0.1,39.32,15,-10
19,60,0,0.1,25.34,15,-10
20,60,0,0.1,16.06,15,-10
21,60,0,0.1,10,15,-10
22,120,4,0.1,10,15,-15
23,60,0,0.1,13.67,15,-15
24,60,0,0.1,18.53,15,-15
25,90,0,0.1,24.94,15,-15
26,60,0,0.1,18.53,15,-15
27,60,0,0.1,13.67,15,-15
28,60,0,0.1,10,15,-15
29,120,4,0.1,10,15,-19.8
30,60,0,0.1,11.68,15,-19.8
31,60,0,0.1,13.61,15,-19.8
32,90,0,0.1,15.83,15,-19.8
33,60,0,0.1,13.61,15,-19.8
34,60,0,0.1,11.68,15,-19.8
35,60,0,0.1,10,15,-19.8
36,120,4,0.1,10,15,-15
37,60,0,0.1,13.67,15,-15
38,60,0,0.1,18.53,15,-15
39,90,0,0.1,24.94,15,-15
40,60,0,0.1,18.53,15,-15
41,60,0,0.1,13.67,15,-15
42,60,0,0.1,10,15,-15
43,120,4,0.1,10,15,-10
44,60,0,0.1,16.06,15,-10
45,60,0,0.1,25.34,15,-10
46,90,0,0.1,39.32,15,-10
47,60,0,0.1,25.34,15,-10
48,60,0,0.1,16.06,15,-10
49,60,0,0.1,10,15,-10
50,120,4,0.1,10,15,-5
51,60,0,0.1,18.84,15,-5
52,60,0,0.1,34.38,15,-5
53,90,0,0.1,60.94,15,-5
54,60,0,0.1,34.38,15,-5
55,60,0,0.1,18.84,15,-5
56,60,0,0.1,10,15,-5
57,120,4,0.1,10,15,0
58,60,0,0.1,22.05,15,0
59,60,0,0.1,46.29,15,0
60,90,0,0.1,92.93,15,0
61,60,0,0.1,46.29,15,0
62,60,0,0.1,22.05,15,0
63,60,0,0.1,10,15,0
