aDummy,,,
Points,Soak,Assured,PID
,,,PID_inst_test.read_control
1,0.2,0,0.1
2,0.2,0,0.2
3,0.2,0,0.3
4,0.2,0,0.4
5,0.2,0,0.5
6,0.2,0,0.6
7,0.2,0,0.7
8,0.2,0,0.8
9,0.2,0,0.9
10,0.2,0,1
11,0.2,0,1.1
12,0.2,0,1.2
13,0.2,0,1.3
14,0.2,0,1.4
15,0.2,0,1.5
16,0.2,0,1.6
17,0.2,0,1.7
18,0.2,0,1.8
19,0.2,0,1.9
20,0.2,0,2
21,0.2,0,2.1
22,0.2,0,2.2
23,0.2,0,2.3
24,0.2,0,2.4
25,0.2,0,2.5
26,0.2,0,2.6
27,0.2,0,2.7
28,0.2,0,2.8
29,0.2,0,2.9
30,0.2,0,3
31,0.2,0,3.1
32,0.2,0,3.2
33,0.2,0,3.3
34,0.2,0,3.4
35,0.2,0,3.5
36,0.2,0,3.6
37,0.2,0,3.7
38,0.2,0,3.8
39,0.2,0,3.9
40,0.2,0,4
41,0.2,0,4.1
42,0.2,0,4.2
43,0.2,0,4.3
44,0.2,0,4.4
45,0.2,0,4.5
46,0.2,0,4.6
47,0.2,0,4.7
48,0.2,0,4.8
49,0.2,0,4.9
50,0.2,0,5
51,0.2,0,5.1
52,0.2,0,5.2
53,0.2,0,5.3
54,0.2,0,5.4
55,0.2,0,5.5
56,0.2,0,5.6
57,0.2,0,5.7
58,0.2,0,5.8
59,0.2,0,5.9
60,0.2,0,6
61,0.2,0,6.1
62,0.2,0,6.2
63,0.2,0,6.3
64,0.2,0,6.4
65,0.2,0,6.5
66,0.2,0,6.6
67,0.2,0,6.7
68,0.2,0,6.8
69,0.2,0,6.9
70,0.2,0,7
71,0.2,0,7.1
72,0.2,0,7.2
73,0.2,0,7.3
74,0.2,0,7.4
75,0.2,0,7.5
76,0.2,0,7.6
77,0.2,0,7.7
78,0.2,0,7.8
79,0.2,0,7.9
80,0.2,0,8
81,0.2,0,8.1
82,0.2,0,8.2
83,0.2,0,8.3
84,0.2,0,8.4
85,0.2,0,8.5
86,0.2,0,8.6
87,0.2,0,8.7
88,0.2,0,8.8
89,0.2,0,8.9
90,0.2,0,9
91,0.2,0,9.1
92,0.2,0,9.2
93,0.2,0,9.3
94,0.2,0,9.4
95,0.2,0,9.5
96,0.2,0,9.6
97,0.2,0,9.7
98,0.2,0,9.8
99,0.2,0,9.9
100,0.2,0,10
101,0.2,0,10.1
102,0.2,0,10.2
103,0.2,0,10.3
104,0.2,0,10.4
105,0.2,0,10.5
106,0.2,0,10.6
107,0.2,0,10.7
108,0.2,0,10.8
109,0.2,0,10.9
110,0.2,0,11
111,0.2,0,11.1
112,0.2,0,11.2
113,0.2,0,11.3
114,0.2,0,11.4
115,0.2,0,11.5
116,0.2,0,11.6
117,0.2,0,11.7
118,0.2,0,11.8
119,0.2,0,11.9
120,0.2,0,12
121,0.2,0,12.1
122,0.2,0,12.2
123,0.2,0,12.3
124,0.2,0,12.4
125,0.2,0,12.5
126,0.2,0,12.6
127,0.2,0,12.7
128,0.2,0,12.8
129,0.2,0,12.9
130,0.2,0,13
131,0.2,0,13.1
132,0.2,0,13.2
133,0.2,0,13.3
134,0.2,0,13.4
135,0.2,0,13.5
136,0.2,0,13.6
137,0.2,0,13.7
138,0.2,0,13.8
139,0.2,0,13.9
140,0.2,0,14
141,0.2,0,14.1
142,0.2,0,14.2
143,0.2,0,14.3
144,0.2,0,14.4
145,0.2,0,14.5
146,0.2,0,14.6
147,0.2,0,14.7
148,0.2,0,14.8
149,0.2,0,14.9
150,0.2,0,15
