RH a180329_APMPS14_fullrun.dat						
Calibration of IPAC Vaisala HMP7 for low RH in ext chamb.						
Point	SetT	SetRH	Flow	Soak	AssuredSoak	TempCal
1	5	50	15	180	1	0
2	5	10	15	70	1	0
3	5	30	15	70	1	0
4	5	50	15	70	1	0
5	5	70	15	70	1	0
6	5	90	15	70	1	0
7	5	50	15	70	1	0
8	23	50	15	180	1	0
9	23	10	15	70	1	0
10	23	30	15	70	1	0
11	23	50	15	70	1	0
12	23	70	15	70	1	0
13	23	90	15	70	1	0
14	23	50	15	70	1	0
15	50	50	15	180	1	0
16	50	10	15	70	1	0
17	50	30	15	70	1	0
18	50	50	15	70	1	0
19	50	70	15	70	1	0
20	50	90	15	70	1	0
21	50	50	15	70	1	0
22	23	50	15	180	1	0
23	5	50	15	180	1	0
24	5	10	15	70	1	0
25	5	30	15	70	1	0
26	5	50	15	70	1	0
27	5	70	15	70	1	0
28	5	90	15	70	1	0
29	5	50	15	70	1	0
30	23	50	15	180	1	0
31	23	10	15	70	1	0
32	23	30	15	70	1	0
33	23	50	15	70	1	0
34	23	70	15	70	1	0
35	23	90	15	70	1	0
36	23	50	15	70	1	0
37	50	50	15	180	1	0
38	50	10	15	70	1	0
39	50	30	15	70	1	0
40	50	50	15	70	1	0
41	50	70	15	70	1	0
42	50	90	15	70	1	0
43	50	50	15	70	1	0
44	23	50	15	180	1	0
45	5	50	15	180	1	0
46	5	10	15	70	1	0
47	5	30	15	70	1	0
48	5	50	15	70	1	0
49	5	70	15	70	1	0
50	5	90	15	70	1	0
51	5	50	15	70	1	0
52	23	50	15	180	1	0
53	23	10	15	70	1	0
54	23	30	15	70	1	0
55	23	50	15	70	1	0
56	23	70	15	70	1	0
57	23	90	15	70	1	0
58	23	50	15	70	1	0
59	50	50	15	180	1	0
60	50	10	15	70	1	0
61	50	30	15	70	1	0
62	50	50	15	70	1	0
63	50	70	15	70	1	0
64	50	90	15	70	1	0
65	50	50	15	70	1	0
66	23	50	15	180	1	0
67	23	50	15	70	1	0
