a211001bDP_MSL_CMHx3.csv,,,,,
Points,Soak,Assured,T_2900,DP_2900,Q_2900
,,,HG2900.set_ts,HG2900.set_dp,HG2900.set_q
,,,HG2900.read_ts_sp,HG2900.read_dp_sp,HG2900.read_q_sp
,,,HG2900.read_tc,HG2900.read_dp_sp,HG2900.read_q
1,180,0,-10,-34.164,18
2,90,0,-10,-28.778,18
3,90,0,-10,-23.347,18
4,90,0,-10,-17.869,18
5,90,0,-10,-12.341,18
6,90,0,-10,-17.869,18
7,180,0,10,-17.869,15
8,90,0,10,-17.869,18
9,90,0,10,-12.341,18
10,90,0,10,-2.263,18
11,90,0,10,3,18
12,90,0,10,8,18
13,90,0,10,3,18
14,180,0,30,3,18
15,90,0,30,8,18
16,90,0,30,13,18
17,90,0,30,18,18
18,90,0,30,23,18
19,90,0,30,18,18
20,90,0,50,18,18
21,90,0,50,23,18
22,180,0,50,28,18
23,90,0,50,33,18
24,90,0,50,38,18
25,90,0,50,43,18
26,90,0,50,48,18
27,90,0,50,43,18
28,90,0,70,43,18
29,90,0,70,48,18
30,180,0,70,53,18
31,90,0,70,58,18
32,90,0,70,63,18
33,90,0,70,68,18
34,90,0,70,69,18
35,90,0,70,69,18
36,90,0,70,48,18
37,90,0,60,43,18
38,90,0,60,48,18
39,90,0,60,53,18
40,180,0,40,23,18
41,90,0,40,28,18
42,90,0,40,33,18
43,180,0,20,3,18
44,90,0,20,8,18
45,90,0,20,13,18
46,180,0,0,-13.451,18
47,90,0,0,-7.883,18
48,90,0,0,-2.263,18
