a211008a_TS2500_MSL_CMHx3.csv,,,,,
Points,Soak,Assured,T_2500,RH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pc,HG2500.set_q
1,90,0,0.1,10.28,18
2,90,0,0.1,15.23,18
3,90,0,0.1,24.48,18
4,90,0,0.1,38.62,18
5,90,0,0.1,24.48,18
6,180,0,10,12.27,18
7,90,0,10,19.36,18
8,90,0,10,42.16,18
9,90,0,10,61.72,18
10,90,0,10,87.36,18
11,90,0,10,61.72,18
12,90,0,10,61.72,18
13,180,0,30,25.25,18
14,90,0,30,35.26,18
15,90,0,30,48.6,18
16,90,0,30,66.17,18
17,90,0,30,48.6,18
18,90,0,30,48.6,18
19,180,0,50,22.73,18
20,90,0,50,30.59,18
21,90,0,50,40.73,18
22,90,0,50,53.66,18
23,90,0,50,70.01,18
24,90,0,50,90.48,18
25,90,0,50,70.01,18
26,90,0,50,70.01,18
27,180,0,70,35.79,18
28,90,0,70,45.84,18
29,90,0,70,58.22,18
30,90,0,70,73.33,18
31,90,0,70,91.66,18
32,90,0,70,95.75,18
33,90,0,70,95.75,18
34,90,0,70,35.79,18
35,90,0,70,27.69,18
36,180,0,60,56,18
37,90,0,60,71.73,18
38,90,0,60,14.07,18
39,180,0,40,51.2,18
40,90,0,40,68.16,18
41,90,0,40,10.26,18
42,180,0,20,45.86,18
43,90,0,20,64.03,18
44,90,0,20,14.46,18
45,180,0,0,55.33,18
46,90,0,0,84.71,18
47,90,0,0,84.71,18
