a211008b_TS2500_MSLCMHx3pc&pctc.csv,,,,,,
Points,Soak,Assured,T_2500,RH2500_pc,RH2500_pctc,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pc,HG2500.set_rh_pctc,HG2500.set_q
1,30,0,0.1,,14.8,18
2,30,0,0.1,15.23,,18
3,30,0,0.1,,23.78,18
4,60,0,0.1,24.48,,18
5,30,0,0.1,,37.51,18
6,60,0,0.1,38.62,,18
7,30,0,0.1,,23.78,18
8,60,0,0.1,24.48,,18
9,60,0,10,,12.03,18
10,120,0,10,12.27,,18
11,30,0,10,,18.97,18
12,60,0,10,19.36,,18
13,30,0,10,,41.32,18
14,60,0,10,42.16,,18
15,30,0,10,,60.5,18
16,60,0,10,61.72,,18
17,30,0,10,,85.63,18
18,60,0,10,87.36,,18
19,30,0,10,,60.5,18
20,60,0,10,61.72,,18
21,30,0,10,,60.5,18
22,60,0,10,61.72,,18
23,60,0,30,,24.82,18
24,120,0,30,25.25,,18
25,30,0,30,,34.66,18
26,60,0,30,35.26,,18
27,30,0,30,,47.77,18
28,60,0,30,48.6,,18
29,30,0,30,,65.05,18
30,60,0,30,66.17,,18
31,30,0,30,,47.77,18
32,60,0,30,48.6,,18
33,30,0,30,,47.77,18
34,60,0,30,48.6,,18
35,60,0,50,,22.39,18
36,120,0,50,22.73,,18
37,30,0,50,,30.14,18
38,60,0,50,30.59,,18
39,30,0,50,,40.13,18
40,60,0,50,40.73,,18
41,30,0,50,,52.87,18
42,60,0,50,53.66,,18
43,30,0,50,,68.97,18
44,60,0,50,70.01,,18
45,30,0,50,,89.14,18
46,60,0,50,90.48,,18
47,30,0,50,,68.97,18
48,60,0,50,70.01,,18
49,30,0,50,,68.97,18
50,60,0,50,70.01,,18
51,60,0,70,,35.33,18
52,120,0,70,35.79,,18
53,30,0,70,,45.25,18
54,60,0,70,45.84,,18
55,30,0,70,,57.47,18
56,60,0,70,58.22,,18
57,30,0,70,,72.39,18
58,60,0,70,73.33,,18
59,30,0,70,,90.48,18
60,60,0,70,91.66,,18
61,30,0,70,,94.52,18
62,60,0,70,95.75,,18
63,30,0,70,,94.52,18
64,60,0,70,95.75,,18
65,30,0,70,,35.33,18
66,60,0,70,35.79,,18
67,30,0,70,,27.34,18
68,60,0,70,27.69,,18
69,60,0,60,,55.23,18
70,120,0,60,56,,18
71,30,0,60,,70.74,18
72,60,0,60,71.73,,18
73,30,0,60,,13.87,18
74,60,0,60,14.07,,18
75,60,0,40,,50.39,18
76,120,0,40,51.2,,18
77,30,0,40,,67.08,18
78,60,0,40,68.16,,18
79,30,0,40,,10.09,18
80,60,0,40,10.26,,18
81,60,0,20,,45.02,18
82,120,0,20,45.86,,18
83,30,0,20,,62.85,18
84,60,0,20,64.03,,18
85,30,0,20,,14.19,18
86,60,0,20,14.46,,18
87,60,0,0,,53.75,18
88,120,0,0,55.33,,18
89,30,0,0,,82.29,18
90,60,0,0,84.71,,18
91,30,0,0,,82.29,18
92,60,0,0,84.71,,18
93,30,0,0,,82.29,18
94,60,0,0,84.71,,18
95,,,,,,
96,,,,,,
