a211008c_TS2500_MSLCMHx3pc&pctc.csv,,,,,,
Points,Soak,Assured,T_2500,RH2500_pc,RH2500_pctc,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pc,HG2500.set_rh_pctc,HG2500.set_q
1,30,0,0.1,,14.8,18
2,60,0,0.1,15.23,,18
3,30,0,0.1,,23.78,18
4,60,0,0.1,24.48,,18
5,30,0,0.1,,37.51,18
6,60,0,0.1,38.62,,18
7,30,0,0.1,,58.18,18
8,60,0,0.1,59.89,,18
9,30,0,0.1,,37.51,18
10,60,0,0.1,38.62,,18
11,60,0,10,,18.97,18
12,120,0,10,19.36,,18
13,30,0,10,,29.43,18
14,60,0,10,30.03,,18
15,30,0,10,,60.5,18
16,60,0,10,61.72,,18
17,30,0,10,,85.63,18
18,60,0,10,87.36,,18
19,30,0,10,,60.5,18
20,60,0,10,61.72,,18
21,60,0,30,,17.54,18
22,120,0,30,17.84,,18
23,30,0,30,,24.82,18
24,60,0,30,25.25,,18
25,30,0,30,,34.66,18
26,60,0,30,35.26,,18
27,30,0,30,,47.77,18
28,60,0,30,48.6,,18
29,30,0,30,,65.05,18
30,60,0,30,66.17,,18
31,30,0,30,,47.77,18
32,60,0,30,48.6,,18
33,60,0,50,,16.45,18
34,120,0,50,16.69,,18
35,30,0,50,,22.39,18
36,60,0,50,22.73,,18
37,30,0,50,,30.14,18
38,60,0,50,30.59,,18
39,30,0,50,,40.13,18
40,60,0,50,40.73,,18
41,30,0,50,,52.87,18
42,60,0,50,53.66,,18
43,30,0,50,,68.97,18
44,60,0,50,70.01,,18
45,30,0,50,,89.14,18
46,60,0,50,90.48,,18
47,30,0,50,,68.97,18
48,60,0,50,70.01,,18
49,60,0,70,,27.34,18
50,120,0,70,27.69,,18
51,30,0,70,,35.33,18
52,60,0,70,35.79,,18
53,30,0,70,,45.25,18
54,60,0,70,45.84,,18
55,30,0,70,,57.47,18
56,60,0,70,58.22,,18
57,30,0,70,,72.39,18
58,60,0,70,73.33,,18
59,30,0,70,,90.48,18
60,60,0,70,91.66,,18
61,30,0,70,,94.52,18
62,60,0,70,95.75,,18
63,30,0,70,,35.33,18
64,60,0,70,35.79,,18
65,60,0,60,,42.73,18
66,120,0,60,43.33,,18
67,30,0,60,,55.23,18
68,60,0,60,56,,18
69,30,0,60,,70.74,18
70,60,0,60,71.73,,18
71,60,0,40,,37.44,18
72,120,0,40,38.04,,18
73,30,0,40,,50.39,18
74,60,0,40,51.2,,18
75,30,0,40,,67.08,18
76,60,0,40,68.16,,18
77,60,0,20,,31.81,18
78,120,0,20,32.4,,18
79,30,0,20,,45.02,18
80,60,0,20,45.86,,18
81,30,0,20,,62.85,18
82,60,0,20,64.03,,18
83,60,0,0.1,,34.54,18
84,120,0,0.1,35.3,,18
85,30,0,0.1,,53.75,18
86,60,0,0.1,54.93,,18
87,30,0,0.1,,81.7,18
88,60,0,0.1,84.1,,18
89,30,0,0.1,,23.78,18
90,60,0,0.1,24.48,,18
91,30,0,0.1,,37.51,18
92,60,0,0.1,38.62,,18
