a220112_SGSWool_HygroPalm.csv,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,300,0,10,20,15
2,50,0,10,34,15
3,50,0,10,48,15
4,50,0,10,62,15
5,50,0,10,76,15
6,90,0,10,90,15
7,50,0,10,76,15
8,50,0,10,62,15
9,50,0,10,48,15
10,50,0,10,34,15
11,50,0,10,20,15
12,180,0,21,20,15
13,50,0,21,34,15
14,50,0,21,48,15
15,50,0,21,62,15
16,50,0,21,76,15
17,90,0,21,90,15
18,50,0,21,76,15
19,50,0,21,62,15
20,50,0,21,48,15
21,50,0,21,34,15
22,50,0,21,20,15
23,180,0,30,20,15
24,50,0,30,34,15
25,50,0,30,48,15
26,50,0,30,62,15
27,50,0,30,76,15
28,90,0,30,90,15
29,50,0,30,76,15
30,50,0,30,62,15
31,50,0,30,48,15
32,50,0,30,34,15
33,50,0,30,20,15
34,300,0,40,20,15
35,50,0,40,34,15
36,50,0,40,48,15
37,50,0,40,62,15
38,50,0,40,76,15
39,90,0,40,90,15
40,50,0,40,76,15
41,50,0,40,62,15
42,50,0,40,48,15
43,50,0,40,34,15
44,50,0,40,20,15
46,300,0,21,20,15
47,50,0,21,34,15
48,50,0,21,48,15
49,50,0,21,62,15
50,50,0,21,76,15
51,90,0,21,90,15
52,50,0,21,76,15
53,50,0,21,62,15
54,50,0,21,48,15
55,50,0,21,34,15
56,50,0,21,20,15
