a220211_FPH_Optidew.csv,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,180,0,21,10,15
2,50,0,21,20,15
3,50,0,21,36,15
4,50,0,21,60,15
5,90,0,21,95,15
6,50,0,21,60,15
7,50,0,21,36,15
8,50,0,21,20,15
9,90,0,21,10,15
10,180,0,29,10,15
11,50,0,29,20,15
12,50,0,29,36,15
13,50,0,29,60,15
14,90,0,29,95,15
15,50,0,29,60,15
16,50,0,29,36,15
17,50,0,29,20,15
18,90,0,29,10,15
19,180,0,38,10,15
20,50,0,38,20,15
21,50,0,38,36,15
22,50,0,38,60,15
23,90,0,38,95,15
24,50,0,38,60,15
25,50,0,38,36,15
26,50,0,38,20,15
27,90,0,38,10,15
28,180,0,47,10,15
29,50,0,47,20,15
30,50,0,47,36,15
31,50,0,47,60,15
32,90,0,47,95,15
33,50,0,47,60,15
34,50,0,47,36,15
35,50,0,47,20,15
36,90,0,47,10,15
37,300,0,34,10,15
38,50,0,34,20,15
39,50,0,34,36,15
40,50,0,34,60,15
41,90,0,34,95,15
42,50,0,34,60,15
43,50,0,34,36,15
44,50,0,34,20,15
45,90,0,34,10,15
46,300,0,21,10,15
47,50,0,21,20,15
48,50,0,21,36,15
49,50,0,21,60,15
50,90,0,21,95,15
51,50,0,21,60,15
52,50,0,21,36,15
53,50,0,21,20,15
54,90,0,21,10,15
