a220512_TS2500_Spectrum473_DP.csv,,,,,,
Points,Soak,Assured,T_2500,RH2500_pc,RH2500_pctc,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pc,HG2500.set_rh_pctc,HG2500.set_q
1,60,0,0.1,,10,15
2,120,0,0.1,10.28,,15
3,30,0,0.1,,14.8,15
4,60,0,0.1,15.23,,15
5,30,0,0.1,,23.78,15
6,60,0,0.1,24.48,,15
7,30,0,0.1,,37.51,15
8,60,0,0.1,38.62,,15
9,30,0,0.1,,23.78,15
10,60,0,0.1,24.48,,15
11,60,0,10,,12.03,15
12,120,0,10,12.27,,15
13,30,0,10,,18.97,15
14,60,0,10,19.36,,15
15,30,0,10,,41.32,15
16,60,0,10,42.16,,15
17,30,0,10,,60.5,15
18,60,0,10,61.72,,15
19,30,0,10,,85.63,15
20,60,0,10,87.36,,15
21,30,0,10,,60.5,15
22,60,0,10,61.72,,15
23,30,0,10,,60.5,15
24,60,0,10,61.72,,15
25,60,0,30,,24.82,15
26,120,0,30,25.25,,15
27,30,0,30,,34.66,15
28,60,0,30,35.26,,15
29,30,0,30,,47.77,15
30,60,0,30,48.6,,15
31,30,0,30,,65.05,15
32,60,0,30,66.17,,15
33,30,0,30,,47.77,15
34,60,0,30,48.6,,15
35,30,0,30,,47.77,15
36,60,0,30,48.6,,15
37,60,0,50,,22.39,15
38,120,0,50,22.73,,15
39,30,0,50,,30.14,15
40,60,0,50,30.59,,15
41,30,0,50,,40.13,15
42,60,0,50,40.73,,15
43,30,0,50,,52.87,15
44,60,0,50,53.66,,15
45,30,0,50,,68.97,15
46,60,0,50,70.01,,15
47,30,0,50,,89.14,15
48,60,0,50,90.48,,15
49,30,0,50,,68.97,15
50,60,0,50,70.01,,15
51,30,0,50,,68.97,15
52,60,0,50,70.01,,15
53,60,0,70,,35.33,15
54,120,0,70,35.79,,15
55,30,0,70,,45.25,15
56,60,0,70,45.84,,15
57,30,0,70,,57.47,15
58,60,0,70,58.22,,15
59,30,0,70,,72.39,15
60,60,0,70,73.33,,15
61,30,0,70,,90.48,15
62,60,0,70,91.66,,15
63,30,0,70,,94.52,15
64,60,0,70,95.75,,15
65,30,0,70,,94.52,15
66,60,0,70,95.75,,15
67,30,0,70,,35.33,15
68,60,0,70,35.79,,15
69,30,0,70,,27.34,15
70,60,0,70,27.69,,15
71,60,0,60,,55.23,15
72,120,0,60,56,,15
73,30,0,60,,70.74,15
74,60,0,60,71.73,,15
75,30,0,60,,13.87,15
76,60,0,60,14.07,,15
77,60,0,40,,50.39,15
78,120,0,40,51.2,,15
79,30,0,40,,67.08,15
80,60,0,40,68.16,,15
81,30,0,40,,10.09,15
82,60,0,40,10.26,,15
83,60,0,20,,45.02,15
84,120,0,20,45.86,,15
85,30,0,20,,62.85,15
86,60,0,20,64.03,,15
87,30,0,20,,14.19,15
88,60,0,20,14.46,,15
89,60,0,0,,53.75,15
90,120,0,0,55.33,,15
91,30,0,0,,82.29,15
92,60,0,0,84.71,,15
93,30,0,0,,82.29,15
94,60,0,0,84.71,,15
95,30,0,0,,82.29,15
96,60,0,0,84.71,,15
