a220513_metservice_vaisala.csv,,,,"0.2C difference at -10C, 0.05C at 5C, 0C difference at 20C",,,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL,,,,rh wanted,fp set,rhset
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q,Julabo_HL.write_Tsp1,,,,,,
1,120,0,-9,-32.77,10,-10,,,,10,-32.77,10
2,50,0,-9,-22.23,10,-10,,,,32,-22.23,29.29
3,50,0,-9,-16.76,10,-10,,,,54,-16.76,49.43
4,50,0,-9,-13.05,10,-10,,,,76,-13.05,69.57
5,50,0,-9,-10.57,10,-10,,,,95,-10.57,86.96
6,50,0,-9,-13.05,10,-10,,,,76,-13.05,69.57
7,50,0,-9,-16.76,10,-10,,,,54,-16.76,49.43
8,50,0,-9,-22.23,10,-10,,,,32,-22.23,29.29
9,50,0,-9,-32.77,10,-10,,,,10,-32.77,10
10,300,0,6,-21.03,15,5,,,,10,-21.03,10
12,50,0,6,-9.19,15,5,,,,32,-9.19,29.85
13,50,0,6,-3.12,15,5,,,,54,-3.12,50.38
14,50,0,6,1.12,15,5,,,,76,1.12,70.89
15,90,0,6,4.26,15,5,,,,95,4.26,88.62
16,50,0,6,1.12,15,5,,,,76,1.12,70.89
17,50,0,6,-3.12,15,5,,,,54,-3.12,50.38
18,50,0,6,-9.19,15,5,,,,32,-9.19,29.85
20,90,0,6,-21.03,15,5,,,,10,-21.03,10
22,180,0,21,-10.49,15,20,,,,10,-10.49,10
23,50,0,21,2.82,15,20,,,,32,2.82,30.08
24,50,0,21,10.42,15,20,,,,54,10.42,50.77
25,50,0,21,15.65,15,20,,,,76,15.65,71.45
26,90,0,21,19.17,15,20,,,,95,19.17,89.31
27,50,0,21,15.65,15,20,,,,76,15.65,71.45
28,50,0,21,10.42,15,20,,,,54,10.42,50.77
29,50,0,21,2.82,15,20,,,,32,2.82,30.08
30,50,0,21,-10.49,15,20,,,,10,-10.49,10
31,360,0,21,-10.49,15,20,,,,10,-10.49,10
32,360,0,21,4.09,15,20,,,,35,4.09,32.9
33,1440,0,21,19.17,15,20,,,,95,19.17,89.31
34,300,0,22,19.67,15,20,,,,98,19.67,86.66
35,30,0,-9,10,15,0,,,,,,
