a220513_metservice_vaisala.csv,,,,"0.2C difference at -10C, 0.05C at 5C, 0C difference at 20C",,
Points,Soak,Assured,t_2900,fp_2900,Q_2900,Julabo_HL
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q,Julabo_HL.write_Tsp1
1,180,0,21,-10.49,15,20
2,50,0,21,2.82,15,20
3,50,0,21,10.42,15,20
4,50,0,21,15.65,15,20
5,90,0,21,19.17,15,20
6,50,0,21,15.65,15,20
7,50,0,21,10.42,15,20
8,50,0,21,2.82,15,20
9,360,0,21,-10.49,15,20
10,360,0,21,4.09,15,20
11,1440,0,21,19.17,15,20
12,180,0,22,19.67,15,20
13,360,0,21,-10.49,15,20
14,300,0,6,-21.03,15,5
15,50,0,6,-9.19,15,5
16,50,0,6,-3.12,15,5
17,50,0,6,1.12,15,5
18,90,0,6,4.26,15,5
19,50,0,6,1.12,15,5
20,50,0,6,-3.12,15,5
21,50,0,6,-9.19,15,5
22,90,0,6,-21.03,15,5
23,120,0,-9,-32.77,10,-10
24,50,0,-9,-22.23,10,-10
25,50,0,-9,-16.76,10,-10
26,50,0,-9,-13.05,10,-10
27,50,0,-9,-10.57,10,-10
28,50,0,-9,-13.05,10,-10
29,50,0,-9,-16.76,10,-10
30,50,0,-9,-22.23,10,-10
31,50,0,-9,-32.77,10,-10
