a220513_metservice_vaisala.csv,,,,"0.2C difference at -10C, 0.05C at 5C, 0C difference at 20C",,,,,,,,,,,,,,,,
Points,Soak,Assured,t_2900,fp_2900,Q_2900,Julabo_HL,,,,,,,,,,,,,,
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q,Julabo_HL.write_Tsp1,,,,,,,,,,,,,,
1,180,0,15,-14.66,15,14,,,,,,,,,,,,,,
2,50,0,15,-2.14,15,14,,,,,,,,,,,,,,
3,50,0,15,4.85,15,14,,,,,,,,,,,,,,
4,50,0,15,9.84,15,14,,,,,,,,,,,,,,
5,90,0,15,13.21,15,14,,,,,,,,,,,,,,
6,50,0,15,9.84,15,14,,,,,,,,,,,,,,
7,50,0,15,4.85,15,14,,,,,,,,,,,,,,
8,50,0,15,-2.14,15,14,,,,,,,,,,,,,,
9,360,0,15,-14.66,15,14,,,,,,,,,,,,,,
10,360,0,15,-1.07,15,14,,,,,,,,,,,,,,
11,1440,0,15,13.21,15,14,,,,,,,,,,,,,,
12,360,0,16,13.69,15,14,,,,,,,,,,,,,,
13,10,0,15,-14.66,15,14,,,,,,,,,,,,,,
14,300,0,6,-21.03,15,5,,,,,,,,,,,,,,
15,50,0,6,-9.19,15,5,,,,,,,,,,,,,,
16,50,0,6,-3.12,15,5,,,,,,,,,,,,,,
17,50,0,6,1.13,15,5,,,,,,,,,,,,,,
18,90,0,6,4.27,15,5,,,,,,,,,,,,,,
19,50,0,6,1.13,15,5,,,,,,,,,,,,,,
20,50,0,6,-3.12,15,5,,,,,,,,,,,,,,
21,50,0,6,-9.19,15,5,,,,,,,,,,,,,,
22,90,0,6,-21.03,15,5,,,,,,,,,,,,,,
23,120,0,-9,-32.78,10,-10,,,,,,,,,,,,,,
24,50,0,-9,-22.24,10,-10,,,,,,,,,,,,,,
25,50,0,-9,-16.76,10,-10,,,,,,,,,,,,,,
26,50,0,-9,-13.05,10,-10,,,,,,,,,,,,,,
27,50,0,-9,-10.58,10,-10,,,,,,,,,,,,,,
28,50,0,-9,-13.05,10,-10,,,,,,,,,,,,,,
29,50,0,-9,-16.76,10,-10,,,,,,,,,,,,,,
30,50,0,-9,-22.24,10,-10,,,,,,,,,,,,,,
31,50,0,-9,-32.78,10,-10,,,,,,,,,,,,,,
