a220506_Spectrum_473,,,,,,,,,,,,,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,Julabo_HL,,,,,,,,,,,,
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,Julabo_HL.write_Tsp1,,,,,,,,,,,,
1,360,0,20,10,15,19,,,,,,,,,,,,
2,50,0,20,30.07,15,19,,,,,,,,,,,,
3,50,0,20,50.74,15,19,,,,,,,,,,,,
4,50,0,20,71.42,15,19,,,,,,,,,,,,
5,90,0,20,89.27,15,19,,,,,,,,,,,,
6,50,0,20,71.42,15,19,,,,,,,,,,,,
7,50,0,20,50.74,15,19,,,,,,,,,,,,
8,50,0,20,30.07,15,19,,,,,,,,,,,,
9,360,0,20,10,15,19,,,,,,,,,,,,
10,360,0,20,32.89,15,19,,,,,,,,,,,,
11,1440,0,20,89.27,15,19,,,,,,,,,,,,
12,360,0,20,92.09,15,19,,,,,,,,,,,,
13,100,0,20,10,15,19,,,,,,,,,,,,
14,360,0,6,10,15,5,,,,,,,,,,,,
15,50,0,6,29.85,15,5,,,,,,,,,,,,
16,50,0,6,50.38,15,5,,,,,,,,,,,,
17,50,0,6,70.9,15,5,,,,,,,,,,,,
18,90,0,6,88.62,15,5,,,,,,,,,,,,
19,50,0,6,70.9,15,5,,,,,,,,,,,,
20,50,0,6,50.38,15,5,,,,,,,,,,,,
21,50,0,6,29.85,15,5,,,,,,,,,,,,
22,90,0,6,10,15,5,,,,,,,,,,,,
23,360,0,0.5,10,15,-10,,,,,,,,,,,,
24,50,0,0.5,13.12,15,-10,,,,,,,,,,,,
25,50,0,0.5,22.15,15,-10,,,,,,,,,,,,
26,50,0,0.5,31.17,15,-10,,,,,,,,,,,,
27,90,0,0.5,38.96,15,-10,,,,,,,,,,,,
28,50,0,0.5,31.17,15,-10,,,,,,,,,,,,
29,50,0,0.5,22.15,15,-10,,,,,,,,,,,,
30,50,0,0.5,13.12,15,-10,,,,,,,,,,,,
31,50,0,0.5,10,15,-10,,,,,,,,,,,,
