a220531_Metservice_2500,,,,,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,,,,,
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,,,,,
1,180,0,21,10,15,,,,,
2,50,0,21,32,15,,,,,
3,50,0,21,53,15,,,,,
4,50,0,21,75,15,,,,,
5,90,0,21,95,15,,,,,
6,50,0,21,75,15,,,,,
7,50,0,21,53,15,,,,,
8,50,0,21,32,15,,,,,
9,90,0,21,10,15,,,,,
10,180,0,0.5,10,15,,,,,
11,50,0,0.5,32,15,,,,,
12,50,0,0.5,53,15,,,,,
13,50,0,0.5,75,15,,,,,
14,90,0,0.5,95,15,,,,,
15,50,0,0.5,75,15,,,,,
16,50,0,0.5,53,15,,,,,
17,50,0,0.5,32,15,,,,,
18,90,0,0.5,10,15,,,,,
19,180,0,10,10,15,,,,,
20,50,0,10,32,15,,,,,
21,50,0,10,53,15,,,,,
22,50,0,10,75,15,,,,,
23,90,0,10,95,15,,,,,
24,50,0,10,75,15,,,,,
25,50,0,10,53,15,,,,,
26,50,0,10,32,15,,,,,
27,90,0,10,10,15,,,,,
28,180,0,20,10,15,,,,,
29,50,0,20,32,15,,,,,
30,50,0,20,53,15,,,,,
31,50,0,20,75,15,,,,,
32,90,0,20,95,15,,,,,
33,50,0,20,75,15,,,,,
34,50,0,20,53,15,,,,,
35,50,0,20,32,15,,,,,
36,90,0,20,10,15,,,,,
37,180,0,30,10,15,,,,,
38,50,0,30,32,15,,,,,
39,50,0,30,53,15,,,,,
40,50,0,30,75,15,,,,,
41,90,0,30,95,15,,,,,
42,50,0,30,75,15,,,,,
43,50,0,30,53,15,,,,,
44,50,0,30,32,15,,,,,
45,90,0,30,10,15,,,,,
46,180,0,40,10,15,,,,,
47,50,0,40,32,15,,,,,
48,50,0,40,53,15,,,,,
49,50,0,40,75,15,,,,,
50,90,0,40,95,15,,,,,
51,50,0,40,75,15,,,,,
52,50,0,40,53,15,,,,,
53,50,0,40,32,15,,,,,
54,90,0,40,10,15,,,,,
55,180,0,50,10,15,,,,,
56,50,0,50,32,15,,,,,
57,50,0,50,53,15,,,,,
58,50,0,50,75,15,,,,,
59,90,0,50,95,15,,,,,
60,50,0,50,75,15,,,,,
61,50,0,50,53,15,,,,,
62,50,0,50,32,15,,,,,
63,90,0,50,10,15,,,,,
64,180,0,20,10,15,,,,,
65,50,0,20,32,15,,,,,
66,50,0,20,53,15,,,,,
67,50,0,20,75,15,,,,,
68,90,0,20,95,15,,,,,
69,50,0,20,75,15,,,,,
70,50,0,20,53,15,,,,,
71,50,0,20,32,15,,,,,
72,90,0,20,10,15,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
