a220714_lengthstandard_temprecord.csv,,,,,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,,,,,
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,,,,,
1,180,0,20,10,40,,,,,
2,80,0,20,27,40,,,,,
3,80,0,20,44,40,,,,,
4,80,0,20,61,40,,,,,
5,80,0,20,78,40,,,,,
6,120,0,20,95,40,,,,,
7,80,0,20,78,40,,,,,
8,80,0,20,61,40,,,,,
9,80,0,20,44,40,,,,,
10,80,0,20,27,40,,,,,
11,80,0,20,10,40,,,,,
12,180,0,0.1,10,40,,,,,
13,80,0,0.1,27,40,,,,,
14,80,0,0.1,44,40,,,,,
15,80,0,0.1,61,40,,,,,
16,80,0,0.1,78,40,,,,,
17,120,0,0.1,95,40,,,,,
18,80,0,0.1,78,40,,,,,
19,80,0,0.1,61,40,,,,,
20,80,0,0.1,44,40,,,,,
21,80,0,0.1,27,40,,,,,
22,80,0,0.1,10,40,,,,,
23,180,0,10,10,40,,,,,
24,80,0,10,27,40,,,,,
25,80,0,10,44,40,,,,,
26,80,0,10,61,40,,,,,
27,80,0,10,78,40,,,,,
28,120,0,10,95,40,,,,,
29,80,0,10,78,40,,,,,
30,80,0,10,61,40,,,,,
31,80,0,10,44,40,,,,,
32,80,0,10,27,40,,,,,
33,80,0,10,10,40,,,,,
34,180,0,20,10,40,,,,,
35,80,0,20,27,40,,,,,
36,80,0,20,44,40,,,,,
37,80,0,20,61,40,,,,,
38,80,0,20,78,40,,,,,
39,120,0,20,95,40,,,,,
40,80,0,20,78,40,,,,,
41,80,0,20,61,40,,,,,
42,80,0,20,44,40,,,,,
43,80,0,20,27,40,,,,,
44,80,0,20,10,40,,,,,
45,180,0,30,10,40,,,,,
46,80,0,30,27,40,,,,,
47,80,0,30,44,40,,,,,
48,80,0,30,61,40,,,,,
49,80,0,30,78,40,,,,,
50,120,0,30,95,40,,,,,
51,80,0,30,78,40,,,,,
52,80,0,30,61,40,,,,,
53,80,0,30,44,40,,,,,
54,80,0,30,27,40,,,,,
55,80,0,30,10,40,,,,,
56,180,0,40,10,40,,,,,
57,80,0,40,27,40,,,,,
58,80,0,40,44,40,,,,,
59,80,0,40,61,40,,,,,
60,80,0,40,78,40,,,,,
61,120,0,40,95,40,,,,,
62,80,0,40,78,40,,,,,
63,80,0,40,61,40,,,,,
64,80,0,40,44,40,,,,,
65,80,0,40,27,40,,,,,
66,80,0,40,10,40,,,,,
67,180,0,20,10,40,,,,,
68,80,0,20,27,40,,,,,
69,80,0,20,44,40,,,,,
70,80,0,20,61,40,,,,,
71,80,0,20,78,40,,,,,
72,120,0,20,95,40,,,,,
73,80,0,20,78,40,,,,,
74,80,0,20,61,40,,,,,
75,80,0,20,44,40,,,,,
76,80,0,20,27,40,,,,,
77,80,0,20,10,40,,,,,
,180,0,20,10,40,,,,,
4.958333333,80,0,20,27,40,,,,,
,80,0,20,44,40,,,,,
,80,0,20,61,40,,,,,
,80,0,20,78,40,,,,,
,120,0,20,95,40,,,,,
,80,0,20,78,40,,,,,
,80,0,20,61,40,,,,,
,80,0,20,44,40,,,,,
,80,0,20,27,40,,,,,
,80,0,20,10,40,,,,,
