a220719_Wika,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,180,0,20,10,15
2,60,0,20,30,15
3,60,0,20,50,15
4,60,0,20,70,15
5,90,0,20,90,15
6,60,0,20,70,15
7,90,0,20,50,15
8,60,0,20,30,15
9,60,0,20,10,15
10,300,0,10,10,15
11,60,0,10,30,15
12,60,0,10,50,15
13,60,0,10,70,15
14,90,0,10,90,15
15,60,0,10,70,15
16,60,0,10,50,15
17,60,0,10,30,15
18,60,0,10,10,15
19,180,0,20,10,15
20,60,0,20,30,15
21,60,0,20,50,15
22,60,0,20,70,15
23,90,0,20,90,15
24,60,0,20,70,15
25,60,0,20,50,15
26,60,0,20,30,15
27,60,0,20,10,15
28,180,0,30,10,15
29,60,0,30,30,15
30,60,0,30,50,15
31,60,0,30,70,15
32,90,0,30,90,15
33,60,0,30,70,15
34,60,0,30,50,15
35,60,0,30,30,15
36,60,0,30,10,15
37,180,0,40,10,15
38,60,0,40,30,15
39,60,0,40,50,15
40,60,0,40,70,15
41,90,0,40,90,15
42,60,0,40,70,15
43,60,0,40,50,15
44,60,0,40,30,15
45,60,0,40,10,15
46,180,0,50,10,15
47,60,0,50,30,15
48,60,0,50,50,15
49,60,0,50,70,15
50,90,0,50,90,15
51,60,0,50,70,15
52,60,0,50,50,15
53,60,0,50,30,15
54,60,0,50,10,15
55,300,0,35,10,15
56,60,0,35,30,15
57,60,0,35,50,15
58,60,0,35,70,15
59,90,0,35,90,15
60,60,0,35,70,15
61,60,0,35,50,15
62,60,0,35,30,15
63,60,0,35,10,15
64,300,0,20,10,15
65,60,0,20,30,15
66,60,0,20,50,15
67,60,0,20,70,15
68,90,0,20,90,15
69,60,0,20,70,15
70,60,0,20,50,15
71,60,0,20,30,15
72,60,0,20,10,15
73,300,0,10,10,15
74,60,0,10,30,15
75,60,0,10,50,15
76,60,0,10,70,15
77,90,0,10,90,15
78,60,0,10,70,15
79,60,0,10,50,15
80,60,0,10,30,15
81,60,0,10,10,15
