a220810_UL_calibration.csv,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,180,0,20,25,15
2,50,0,20,43,15
3,50,0,20,60,15
4,50,0,20,78,15
5,90,0,20,95,15
6,50,0,20,78,15
7,50,0,20,60,15
8,50,0,20,43,15
9,50,0,20,25,15
10,180,0,25,25,15
11,50,0,25,43,15
12,50,0,25,60,15
13,50,0,25,78,15
14,90,0,25,95,15
15,50,0,25,78,15
16,50,0,25,60,15
17,50,0,25,43,15
18,50,0,25,25,15
19,180,0,30,25,15
20,50,0,30,43,15
21,50,0,30,60,15
22,50,0,30,78,15
23,90,0,30,95,15
24,50,0,30,78,15
25,50,0,30,60,15
26,50,0,30,43,15
27,50,0,30,25,15
28,180,0,35,25,15
29,50,0,35,43,15
30,50,0,35,60,15
31,50,0,35,78,15
32,90,0,35,95,15
33,50,0,35,78,15
34,50,0,35,60,15
35,50,0,35,43,15
36,50,0,35,25,15
37,180,0,40,25,15
38,50,0,40,43,15
39,50,0,40,60,15
40,50,0,40,78,15
41,90,0,40,95,15
42,50,0,40,78,15
43,50,0,40,60,15
44,50,0,40,43,15
45,50,0,40,25,15
46,300,0,35,25,15
47,50,0,35,43,15
48,50,0,35,60,15
49,50,0,35,78,15
50,90,0,35,95,15
51,50,0,35,78,15
52,50,0,35,60,15
53,50,0,35,43,15
54,50,0,35,25,15
55,300,0,30,25,15
56,50,0,30,43,15
57,50,0,30,60,15
58,50,0,30,78,15
59,90,0,30,95,15
60,50,0,30,78,15
61,50,0,30,60,15
62,50,0,30,43,15
63,50,0,30,25,15
64,300,0,25,25,15
65,50,0,25,43,15
66,50,0,25,60,15
67,50,0,25,78,15
68,90,0,25,95,15
69,50,0,25,78,15
70,50,0,25,60,15
71,50,0,25,43,15
72,50,0,25,25,15
73,300,0,20,25,15
74,50,0,20,43,15
75,50,0,20,60,15
76,50,0,20,78,15
77,90,0,20,95,15
78,50,0,20,78,15
79,50,0,20,60,15
80,50,0,20,43,15
81,50,0,20,25,15
