a221214_fibreoptic.csv,,,,,,,,,,,,
Points,Soak,Assured,T_2900,RH_2900,Q_2900,Julabo_HL,,,,,,
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1,,,,,,
1,300,0,30,10,10,30,,,44958.18505,,,21/02/2041 14:26
2,300,0,30,31,10,30,,,,,,
3,300,0,30,52,10,30,,,,,,
4,300,0,30,74,10,30,,,,,,
5,300,0,30,90,10,30,,,,,,
6,300,0,30,74,10,30,,,,,,
7,300,0,30,52,10,30,,,,,,
8,300,0,30,31,10,30,,,,,,
9,300,0,30,10,10,30,,,,,,
9,300,0,30,90,10,30,,,,,,
9,300,0,30,10,10,30,,,,,,
10,300,0,-10,10,10,-10,,,,,,
11,300,0,2,11,10,-10,,,,,,
12,300,0,2,19,10,-10,,,,,,
13,300,0,2,27,10,-10,,,,,,
14,300,0,2,33,20,-10,,,,,,
15,300,0,2,27,20,-10,,,,,,
16,300,0,2,19,20,-10,,,,,,
17,300,0,2,11,20,-10,,,,,,
18,300,0,-10,10,20,-10,,,,,,
19,300,0,0,10,10,0,,,,,,
20,300,0,0,31,10,0,,,,,,
21,300,0,0,52,10,0,,,,,,
22,300,0,0,74,10,0,,,,,,
23,300,0,0,90,10,0,,,,,,
24,300,0,0,74,10,0,,,,,,
25,300,0,0,52,10,0,,,,,,
26,300,0,0,31,10,0,,,,,,
27,300,0,0,10,10,0,,,,,,
27,300,0,0,90,10,0,,,,,,
27,300,0,0,10,10,0,,,,,,
,300,0,0,10,10,0,,,,,,
