a230118_RBNZ_banknotes.csv,,,,,,,,,,,
Points,Soak,Assured,T_2500,RH_2500,Q_2500,,,,,,
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,,,,,,
1,720,0,26,95,20,,,,,,
2,10,0,30,95,20,,,,,,
3,10,0,35,95,20,,,,,,
4,10,0,40,95,20,,,,,,
5,10,0,45,95,20,,,,,,
6,680,0,50,95,20,,,,,,
7,10,0,45,95,20,,,,,,
8,10,0,40,95,20,,,,,,
9,10,0,35,95,20,,,,,,
10,10,0,30,95,20,,,,,,
11,680,0,26,95,20,,,,,,0
12,10,0,30,95,20,,,,,,
13,10,0,35,95,20,,,,,,
14,10,0,40,95,20,,,,,,
15,10,0,45,95,20,,,,,,
16,680,0,50,95,20,,,,,,
17,10,0,45,95,20,,,,,,
18,10,0,40,95,20,,,,,,
19,10,0,35,95,20,,,,,,
20,10,0,30,95,20,,,,,,
21,680,0,26,95,20,,,,,,
22,10,0,30,95,20,,,,,,
23,10,0,35,95,20,,,,,,
24,10,0,40,95,20,,,,,,
25,10,0,45,95,20,,,,,,
26,680,0,50,95,20,,,,,,
27,30,0,50,50,20,,,,,,
28,6000,0,20,50,20,,,,,,
