a230131_Temperature_fibreopti3c_selfheat,,,,,
Points,Soak,Assured,Julabo_HL,Q,Current
,,,Julabo_HL.write_Tsp1,SFC5500_22030201_10slm.write_qset,milliK-millisKanner_40152.set_current
1,5,0,-40,0.1,0
2,5,0,-40,0.1,
3,5,0,-40,0.1,1
4,5,0,-40,0.1,
5,5,0,-40,0.1,0
6,5,0,-40,0.1,
7,5,0,-40,0.1,1
8,5,0,-40,0.1,
9,5,0,-40,0.1,0
10,5,0,-40,0.1,
11,5,0,-40,5,
12,5,0,-40,5,
13,5,0,-40,5,1
14,5,0,-40,5,
15,5,0,-40,5,0
16,5,0,-40,5,
17,5,0,-40,5,1
18,5,0,-40,5,
19,5,0,-40,5,0
20,5,0,-40,5,
21,5,0,-40,10,
22,5,0,-40,10,
23,5,0,-40,10,1
24,5,0,-40,10,
25,5,0,-40,10,0
26,5,0,-40,10,
27,5,0,-40,10,1
28,5,0,-40,10,
29,5,0,-40,10,0
30,5,0,-40,10,
31,5,0,-40,10,
32,120,0,10,10,
32,5,0,10,10,1
32,5,0,10,10,
32,5,0,10,10,0
32,5,0,10,10,
32,60,0,10,5,
32,5,0,10,5,
32,5,0,10,5,1
