a230131_Temperature_fibreopti4c_selfheat,,,,,,,,,,,,,,,,
Points,Soak,Assured,Julabo_HL,Q,Current,,,,,,,,,,,
,,,Julabo_HL.write_Tsp1,SFC5500_22030201_10slm.write_qset,milliK-millisKanner_40152.set_current,,,,,,,,,,,
1,120,0,-60,10,0,,,,,,,,,,,
2,15,0,-60,10,1,,,,,,,,,,,
3,90,0,-60,5,0,,,,,,,,,,,
4,15,0,-60,5,1,,,,,,,,,,,
5,90,0,-60,1,0,,,,,,,,,,,
6,15,0,-60,1,1,,,,,,,,,,,
7,90,0,-60,0.1,0,,,,,,,,,,,
8,15,0,-60,0.1,1,,,,,,,,,,,
9,120,0,-40,10,0,,,,,,,,,,,
10,15,0,-40,10,1,,,,,,,,,,,
11,90,0,-40,5,0,,,,,,,,,,,
12,15,0,-40,5,1,,,,,,,,,,,
13,90,0,-40,1,0,,,,,,,,,,,
14,15,0,-40,1,1,,,,,,,,,,,
15,90,0,-40,0.1,0,,,,,,,,,,,
16,15,0,-40,0.1,1,,,,,,,,,,,
17,120,0,10,10,0,,,,,,,,,,,
18,15,0,10,10,1,,,,,,,,,,,
19,90,0,10,5,0,,,,,,,,,,,
20,15,0,10,5,1,,,,,,,,,,,
21,90,0,10,1,0,,,,,,,,,,,
22,15,0,10,1,1,,,,,,,,,,,
23,90,0,10,0.1,0,,,,,,,,,,,
24,15,0,10,0.1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
