a230203 c_S17DUT_trial#2_10LPM_selfheat_microK
Points,Soak,Assured,Julabo_HL,Q,Current
,,,Julabo_HL.write_Tsp1,SFC5500_22030201_10slm.write_qset,microK.write_current
1,25,0,-69.67,10,1
2,30,0,-69.67,10,1.414213562
3,210,0,-59.67,10,1
4,30,0,-59.67,10,1.414213562
5,270,0,-39.67,10,1
6,30,0,-39.67,10,1.414213562
7,270,0,-19.67,10,1
8,30,0,-19.67,10,1.414213562
9,270,0,0.33,10,1
10,30,0,0.33,10,1.414213562
11,270,0,10.33,10,1
12,30,0,10.33,10,1.414213562
13,270,0,30.33,10,1
14,30,0,30.33,10,1.414213562
15,270,0,10.33,10,1
16,30,0,10.33,10,1.414213562
17,270,0,0.33,10,1
18,30,0,0.33,10,1.414213562
19,270,0,-19.67,10,1
20,30,0,-19.67,10,1.414213562
21,270,0,-39.67,10,1
22,30,0,-39.67,10,1.414213562
23,270,0,-59.67,10,1
24,30,0,-59.67,10,1.414213562
25,270,0,-69.67,10,1
26,30,0,-69.67,10,1.414213562
27,270,0,-59.67,10,1
28,30,0,-59.67,10,1.414213562
29,270,0,-39.67,10,1
30,30,0,-39.67,10,1.414213562
31,270,0,-19.67,10,1
32,30,0,-19.67,10,1.414213562
33,270,0,0.33,10,1
34,30,0,0.33,10,1.414213562
35,210,0,10.33,10,1
36,30,0,10.33,10,1.414213562
37,270,0,30.33,10,1
38,30,0,30.33,10,1.414213562
