a230203_S17DUT_holder_selfheat_microK,,,,,
Points,Soak,Assured,Julabo_HL,Q,Current
,,,Julabo_HL.write_Tsp1,SFC5500_22030201_10slm.write_qset,microK.write_current
1,180,0,-70,10,1
2,30,0,-70,10,1.414213562
3,90,0,-70,5,1
4,30,0,-70,5,1.414213562
5,90,0,-70,1,1
6,30,0,-70,1,1.414213562
7,90,0,-70,0.1,1
8,30,0,-70,0.1,1.414213562
9,120,0,-60,10,1
10,15,0,-60,10,1.414213562
11,90,0,-60,5,1
12,15,0,-60,5,1.414213562
13,90,0,-60,1,1
14,15,0,-60,1,1.414213562
15,90,0,-60,0.1,1
16,15,0,-60,0.1,1.414213562
17,120,0,10,10,1
18,15,0,10,10,1.414213562
19,90,0,10,5,1
20,15,0,10,5,1.414213562
21,90,0,10,1,1
22,15,0,10,1,1.414213562
23,90,0,10,0.1,1
24,15,0,10,0.1,1.414213562
