a230303_BRANZ_HMP77.csv,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,t_PC200
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,PC200.SS
1,300,4,0.1,10,15,-0.08
2,60,0,0.1,26.8,15,-0.08
3,60,0,0.1,43.68,15,-0.08
4,60,0,0.1,60.55,15,-0.08
5,60,0,0.1,77.43,15,-0.08
6,90,0,0.1,94.3,15,-0.08
7,60,0,0.1,77.43,15,-0.08
8,60,0,0.1,60.55,15,-0.08
9,60,0,0.1,43.68,15,-0.08
10,60,0,0.1,26.8,15,-0.08
11,60,0,0.1,10,15,-0.08
12,300,4,0.1,10,15,-5.08
13,60,0,0.1,17.68,15,-5.08
14,60,0,0.1,28.71,15,-5.08
15,60,0,0.1,39.81,15,-5.08
16,60,0,0.1,50.9,15,-5.08
17,90,0,0.1,62,15,-5.08
18,60,0,0.1,50.9,15,-5.08
19,60,0,0.1,39.81,15,-5.08
20,60,0,0.1,28.71,15,-5.08
21,60,0,0.1,17.68,15,-5.08
22,60,0,0.1,10,15,-5.08
23,300,4,0.1,10,15,-10.08
24,60,0,0.1,11.4,15,-10.08
25,60,0,0.1,18.58,15,-10.08
26,60,0,0.1,25.75,15,-10.08
27,60,0,0.1,32.93,15,-10.08
28,90,0,0.1,40.11,15,-10.08
29,60,0,0.1,32.93,15,-10.08
30,60,0,0.1,25.75,15,-10.08
31,60,0,0.1,18.58,15,-10.08
32,60,0,0.1,11.4,15,-10.08
33,60,0,0.1,10,15,-10.08
43,300,4,0.1,10,15,-18.08
44,60,0,0.1,12.38,15,-18.08
45,60,0,0.1,15.83,15,-18.08
46,90,0,0.1,19.28,15,-18.08
47,60,0,0.1,15.83,15,-18.08
48,60,0,0.1,12.38,15,-18.08
49,60,0,0.1,10,15,-18.08
50,180,4,0.1,10,15,-10.08
51,60,0,0.1,11.4,15,-10.08
52,60,0,0.1,18.58,15,-10.08
53,60,0,0.1,25.75,15,-10.08
54,60,0,0.1,32.93,15,-10.08
55,90,0,0.1,40.11,15,-10.08
56,60,0,0.1,32.93,15,-10.08
57,60,0,0.1,25.75,15,-10.08
58,60,0,0.1,18.58,15,-10.08
59,60,0,0.1,11.4,15,-10.08
60,60,0,0.1,10,15,-10.08
61,180,4,0.1,10,15,-0.08
62,60,0,0.1,26.8,15,-0.08
63,60,0,0.1,43.68,15,-0.08
64,60,0,0.1,60.55,15,-0.08
65,60,0,0.1,77.43,15,-0.08
66,90,0,0.1,94.3,15,-0.08
67,60,0,0.1,77.43,15,-0.08
68,60,0,0.1,60.55,15,-0.08
69,60,0,0.1,43.68,15,-0.08
70,60,0,0.1,26.8,15,-0.08
71,60,0,0.1,10,15,-0.08
72,180,0,20,10,15,19.96
73,50,0,20,27,15,19.96
74,50,0,20,44,15,19.96
75,50,0,20,61,15,19.96
76,50,0,20,78,15,19.96
77,90,0,20,95,15,19.96
78,50,0,20,78,15,19.96
79,50,0,20,61,15,19.96
80,50,0,20,44,15,19.96
81,50,0,20,27,15,19.96
82,90,0,20,10,15,19.96
83,180,0,40,10,15,40
84,50,0,40,27,15,40
85,50,0,40,44,15,40
86,50,0,40,61,15,40
87,50,0,40,78,15,40
88,90,0,40,95,15,40
89,50,0,40,78,15,40
90,50,0,40,61,15,40
91,50,0,40,44,15,40
92,50,0,40,27,15,40
93,90,0,40,10,15,40
94,180,0,60,10,15,60
95,50,0,60,27,15,60
96,50,0,60,44,15,60
97,50,0,60,61,15,60
98,50,0,60,78,15,60
99,90,0,60,95,15,60
100,50,0,60,78,15,60
101,50,0,60,61,15,60
102,50,0,60,44,15,60
103,50,0,60,27,15,60
104,90,0,60,10,15,60
105,300,0,40,10,15,40
106,50,0,40,27,15,40
107,50,0,40,44,15,40
108,50,0,40,61,15,40
109,50,0,40,78,15,40
110,90,0,40,95,15,40
111,50,0,40,78,15,40
112,50,0,40,61,15,40
113,50,0,40,44,15,40
114,50,0,40,27,15,40
115,90,0,40,10,15,40
116,300,0,20,10,15,19.96
117,50,0,20,27,15,19.96
118,50,0,20,44,15,19.96
119,50,0,20,61,15,19.96
120,50,0,20,78,15,19.96
121,90,0,20,95,15,19.96
122,50,0,20,78,15,19.96
123,50,0,20,61,15,19.96
124,50,0,20,44,15,19.96
125,50,0,20,27,15,19.96
126,90,0,20,10,15,19.96
