a230316_s14test,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1
1,300,0,23,10,15,23.3
2,60,0,23,26.8,15,23.3
3,60,0,23,43.68,15,23.3
4,60,0,23,60.55,15,23.3
5,60,0,23,77.43,15,23.3
6,90,0,23,94.3,5,23.3
7,60,0,23,77.43,15,23.3
8,60,0,23,60.55,15,23.3
9,60,0,23,43.68,15,23.3
10,60,0,23,26.8,15,23.3
11,60,0,23,10,15,23.3
12,300,0,50,10,15,50.3
13,60,0,50,26.8,15,50.3
14,60,0,50,43.68,15,50.3
15,60,0,50,60.55,15,50.3
16,60,0,50,77.43,15,50.3
17,90,0,50,94.3,5,50.3
18,60,0,50,77.43,15,50.3
19,60,0,50,60.55,15,50.3
20,60,0,50,43.68,15,50.3
21,60,0,50,26.8,15,50.3
22,60,0,50,10,15,50.3
23,300,0,23,10,15,23.3
24,60,0,23,26.8,15,23.3
25,60,0,23,43.68,15,23.3
26,60,0,23,60.55,15,23.3
27,60,0,23,77.43,15,23.3
28,90,0,23,94.3,5,23.3
29,60,0,23,77.43,15,23.3
30,60,0,23,60.55,15,23.3
31,60,0,23,43.68,15,23.3
32,60,0,23,26.8,15,23.3
33,60,0,23,10,15,23.3
34,300,0,5,10,15,5.3
35,60,0,5,26.8,15,5.3
36,60,0,5,43.68,15,5.3
37,60,0,5,60.55,15,5.3
38,60,0,5,77.43,15,5.3
39,90,0,5,94.3,5,5.3
40,60,0,5,77.43,15,5.3
41,60,0,5,60.55,15,5.3
42,60,0,5,43.68,15,5.3
43,60,0,5,26.8,15,5.3
44,60,0,5,10,15,5.3
