a230316_s14testshort,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL
,,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1
1,300,0,20,10,15,20.3
2,60,0,20,43.68,15,20.3
3,60,0,20,77.43,15,20.3
4,90,0,20,94.3,15,20.3
5,60,0,20,77.43,15,20.3
6,60,0,20,43.68,5,20.3
7,60,0,20,10,15,20.3
8,300,0,20,10,15,30.3
9,60,0,20,43.68,15,30.3
10,60,0,20,77.43,15,30.3
11,90,0,20,94.3,15,30.3
12,60,0,30,77.43,15,30.3
13,60,0,30,43.68,15,30.3
14,60,0,30,10,15,30.3
15,300,0,30,10,15,40.3
16,60,0,30,43.68,15,40.3
17,60,0,30,77.43,5,40.3
18,90,0,30,94.3,15,40.3
19,60,0,30,77.43,15,40.3
20,60,0,30,43.68,15,40.3
21,60,0,30,10,15,40.3
