a230317_s14test,,,,,,,,,,,,,,,,,,,,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL,,,,,,,,,,,,,,,,,,,
pt,soak,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1,,,,,,,,,,,,,,,,,,,
1,50,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
2,240,0,5,50,20,5.3,,,,,,,,,,,,,,,,,,,
3,80,0,5,10,20,5.3,,,,,,,,,,,,,,,,,,,
4,80,0,5,30,20,5.3,,,,,,,,,,,,,,,,,,,
5,80,0,5,50,20,5.3,,,,,,,,,,,,,,,,,,,
6,80,0,5,70,20,5.3,,,,,,,,,,,,,,,,,,,
7,80,0,5,95,20,5.3,,,,,,,,,,,,,,,,,,,
8,80,0,5,50,20,5.3,,,,,,,,,,,,,,,,,,,
9,240,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
10,80,0,23,10,20,23.3,,,,,,,,,,,,,,,,,,,
11,80,0,23,30,20,23.3,,,,,,,,,,,,,,,,,,,
12,80,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
13,80,0,23,70,20,23.3,,,,,,,,,,,,,,,,,,,
14,80,0,23,95,20,23.3,,,,,,,,,,,,,,,,,,,
15,80,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
16,240,0,50,50,20,50.3,,,,,,,,,,,,,,,,,,,
17,80,0,50,10,20,50.3,,,,,,,,,,,,,,,,,,,
18,80,0,50,30,20,50.3,,,,,,,,,,,,,,,,,,,
19,80,0,50,50,20,50.3,,,,,,,,,,,,,,,,,,,
20,80,0,50,70,20,50.3,,,,,,,,,,,,,,,,,,,
21,80,0,50,95,20,50.3,,,,,,,,,,,,,,,,,,,
22,80,0,50,50,20,50.3,,,,,,,,,,,,,,,,,,,
23,240,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
24,240,0,5,50,20,5.3,,,,,,,,,,,,,,,,,,,
25,80,0,5,10,20,5.3,,,,,,,,,,,,,,,,,,,
26,80,0,5,30,20,5.3,,,,,,,,,,,,,,,,,,,
27,80,0,5,50,20,5.3,,,,,,,,,,,,,,,,,,,
28,80,0,5,70,20,5.3,,,,,,,,,,,,,,,,,,,
29,80,0,5,95,20,5.3,,,,,,,,,,,,,,,,,,,
30,80,0,5,50,20,5.3,,,,,,,,,,,,,,,,,,,
31,300,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
32,80,0,23,10,20,23.3,,,,,,,,,,,,,,,,,,,
33,80,0,23,30,20,23.3,,,,,,,,,,,,,,,,,,,
34,80,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
35,80,0,23,70,20,23.3,,,,,,,,,,,,,,,,,,,
36,80,0,23,95,20,23.3,,,,,,,,,,,,,,,,,,,
37,80,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
38,300,0,50,50,20,50.3,,,,,,,,,,,,,,,,,,,
39,80,0,50,10,20,50.3,,,,,,,,,,,,,,,,,,,
40,80,0,50,30,20,50.3,,,,,,,,,,,,,,,,,,,
41,80,0,50,50,20,50.3,,,,,,,,,,,,,,,,,,,
42,80,0,50,70,20,50.3,,,,,,,,,,,,,,,,,,,
43,80,0,50,95,20,50.3,,,,,,,,,,,,,,,,,,,
44,80,0,50,50,20,50.3,,,,,,,,,,,,,,,,,,,
45,300,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
46,300,0,5,50,20,5.3,,,,,,,,,,,,,,,,,,,
47,80,0,5,10,20,5.3,,,,,,,,,,,,,,,,,,,
48,80,0,5,30,20,5.3,,,,,,,,,,,,,,,,,,,
49,80,0,5,50,20,5.3,,,,,,,,,,,,,,,,,,,
50,80,0,5,70,20,5.3,,,,,,,,,,,,,,,,,,,
51,80,0,5,95,20,5.3,,,,,,,,,,,,,,,,,,,
52,80,0,5,50,20,5.3,,,,,,,,,,,,,,,,,,,
53,300,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
54,80,0,23,10,20,23.3,,,,,,,,,,,,,,,,,,,
55,80,0,23,30,20,23.3,,,,,,,,,,,,,,,,,,,
56,80,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
57,80,0,23,70,20,23.3,,,,,,,,,,,,,,,,,,,
58,80,0,23,95,20,23.3,,,,,,,,,,,,,,,,,,,
59,80,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
60,300,0,50,50,20,50.3,,,,,,,,,,,,,,,,,,,
61,80,0,50,10,20,50.3,,,,,,,,,,,,,,,,,,,
62,80,0,50,30,20,50.3,,,,,,,,,,,,,,,,,,,
63,80,0,50,50,20,50.3,,,,,,,,,,,,,,,,,,,
64,80,0,50,70,20,50.3,,,,,,,,,,,,,,,,,,,
65,80,0,50,95,20,50.3,,,,,,,,,,,,,,,,,,,
66,80,0,50,50,20,50.3,,,,,,,,,,,,,,,,,,,
67,300,0,23,50,20,23.3,,,,,,,,,,,,,,,,,,,
