a230320_s14test,,,,,,,,,,,,,,,,,,,,,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL,Q SFC_22030201-10,,,,,,,,,,,,,,,,,,,
pt,soak,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1,SFC5500_22030201_10slm.write_qset,,,,,,,,,,,,,,,,,,,
1,300,0,23,95,10,50.3,0,,,,,,,,,,,,,,,,,,,
2,240,0,5,50,10,5.3,0,,,,,,,,,,,,,,,,,,,
3,80,0,5,10,10,5.3,0,,,,,,,,,,,,,,,,,,,
4,80,0,5,30,10,5.3,0,,,,,,,,,,,,,,,,,,,
5,80,0,5,50,10,5.3,0,,,,,,,,,,,,,,,,,,,
6,80,0,5,70,10,5.3,0,,,,,,,,,,,,,,,,,,,
7,80,0,5,95,10,5.3,0,,,,,,,,,,,,,,,,,,,
8,80,0,5,50,10,5.3,0,,,,,,,,,,,,,,,,,,,
9,240,0,23,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
10,80,0,23,10,10,23.3,0,,,,,,,,,,,,,,,,,,,
11,80,0,23,30,10,23.3,0,,,,,,,,,,,,,,,,,,,
12,80,0,23,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
13,80,0,23,70,10,23.3,0,,,,,,,,,,,,,,,,,,,
14,80,0,23,95,10,23.3,0,,,,,,,,,,,,,,,,,,,
15,80,0,23,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
16,240,0,23,50,10,50.3,0,,,,,,,,,,,,,,,,,,,
17,80,0,23,95,10,50.3,0,,,,,,,,,,,,,,,,,,,
18,80,0,50,30,10,50.3,0,,,,,,,,,,,,,,,,,,,
19,80,0,50,50,10,50.3,0,,,,,,,,,,,,,,,,,,,
20,80,0,50,70,10,50.3,0,,,,,,,,,,,,,,,,,,,
21,80,0,50,95,10,50.3,0,,,,,,,,,,,,,,,,,,,
22,80,0,50,50,10,50.3,0,,,,,,,,,,,,,,,,,,,
23,240,0,23,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
24,240,0,5,50,10,5.3,0,,,,,,,,,,,,,,,,,,,
25,80,0,5,10,10,5.3,0,,,,,,,,,,,,,,,,,,,
26,80,0,5,30,10,5.3,0,,,,,,,,,,,,,,,,,,,
27,80,0,5,50,10,5.3,0,,,,,,,,,,,,,,,,,,,
28,80,0,5,70,10,5.3,0,,,,,,,,,,,,,,,,,,,
29,80,0,5,95,10,5.3,0,,,,,,,,,,,,,,,,,,,
30,80,0,5,50,10,5.3,0,,,,,,,,,,,,,,,,,,,
31,300,0,23,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
32,80,0,23.5,10,10,23.3,0,,,,,,,,,,,,,,,,,,,
33,80,0,23.5,30,10,23.3,0,,,,,,,,,,,,,,,,,,,
34,80,0,23.5,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
35,80,0,23.5,70,10,23.3,0,,,,,,,,,,,,,,,,,,,
36,80,0,23.5,95,10,23.3,0,,,,,,,,,,,,,,,,,,,
37,80,0,23,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
38,300,0,50,50,10,50.3,0,,,,,,,,,,,,,,,,,,,
39,80,0,50,10,10,50.3,0,,,,,,,,,,,,,,,,,,,
40,80,0,50,30,10,50.3,0,,,,,,,,,,,,,,,,,,,
41,80,0,50,50,10,50.3,0,,,,,,,,,,,,,,,,,,,
42,80,0,50,70,10,50.3,0,,,,,,,,,,,,,,,,,,,
43,80,0,50,95,10,50.3,0,,,,,,,,,,,,,,,,,,,
44,80,0,50,50,10,50.3,0,,,,,,,,,,,,,,,,,,,
45,300,0,23,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
46,300,0,5,50,10,5.3,0,,,,,,,,,,,,,,,,,,,
47,80,0,5,10,10,5.3,0,,,,,,,,,,,,,,,,,,,
48,80,0,5,30,10,5.3,0,,,,,,,,,,,,,,,,,,,
49,80,0,5,50,10,5.3,0,,,,,,,,,,,,,,,,,,,
50,80,0,5,70,10,5.3,0,,,,,,,,,,,,,,,,,,,
51,80,0,5,95,10,5.3,0,,,,,,,,,,,,,,,,,,,
52,80,0,5,50,10,5.3,0,,,,,,,,,,,,,,,,,,,
53,300,0,23,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
54,80,0,23,10,10,23.3,0,,,,,,,,,,,,,,,,,,,
55,80,0,23,30,10,23.3,0,,,,,,,,,,,,,,,,,,,
56,80,0,23,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
57,80,0,23,70,10,23.3,0,,,,,,,,,,,,,,,,,,,
58,80,0,23,95,10,23.3,0,,,,,,,,,,,,,,,,,,,
59,80,0,23,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
60,300,0,50,50,10,50.3,0,,,,,,,,,,,,,,,,,,,
61,80,0,50,10,10,50.3,0,,,,,,,,,,,,,,,,,,,
62,80,0,50,30,10,50.3,0,,,,,,,,,,,,,,,,,,,
63,80,0,50,50,10,50.3,0,,,,,,,,,,,,,,,,,,,
64,80,0,50,70,10,50.3,0,,,,,,,,,,,,,,,,,,,
65,80,0,50,95,10,50.3,0,,,,,,,,,,,,,,,,,,,
66,80,0,50,50,10,50.3,0,,,,,,,,,,,,,,,,,,,
67,300,0,23,50,10,23.3,0,,,,,,,,,,,,,,,,,,,
