a230324a_s14test,,,,,,,,,,,,,,,,,,,,,,,,,,,,a230316b_s14test,,,,,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL,,,,,,,,,,,,,,,,,,,,,,Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL,,,,
pt,soak,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1,,,,,,,,,,,,,,,,,,,,,,pt,soak,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1,,,,Sat 25/03/2023 0:36
1,60,0,5,49.102,10,5.33,,,,,,,,,,,,,,,,,,,,,,1,50,0,23,50,20,23.3,50,0.8,0.03,Sat 25/03/2023 1:26
2,120,0,5,9.820,10,5.33,,,,,,,,,,,,,,,,,,,,,,2,240,0,5,50,20,5.3,290,4.8,0.20,Sat 25/03/2023 5:26
3,80,0,5,29.461,10,5.33,,,,,,,,,,,,,,,,,,,,,,3,80,0,5,10,20,5.3,370,6.2,0.26,Sat 25/03/2023 6:46
4,80,0,5,49.102,10,5.33,,,,,,,,,,,,,,,,,,,,,,4,80,0,5,30,20,5.3,450,7.5,0.31,Sat 25/03/2023 8:06
5,80,0,5,68.743,10,5.33,,,,,,,,,,,,,,,,,,,,,,5,80,0,5,50,20,5.3,530,8.8,0.37,Sat 25/03/2023 9:26
6,120,0,5,93.294,10,5.33,,,,,,,,,,,,,,,,,,,,,,6,80,0,5,70,20,5.3,610,10.2,0.42,Sat 25/03/2023 10:46
7,80,0,5,49.102,10,5.33,,,,,,,,,,,,,,,,,,,,,,7,80,0,5,95,20,5.3,690,11.5,0.48,Sat 25/03/2023 12:06
8,60,0,23,49.220,10,23.33,,,,,,,,,,,,,,,,,,,,,,8,80,0,5,50,20,5.3,770,12.8,0.53,Sat 25/03/2023 13:26
9,120,0,23,9.844,10,23.33,,,,,,,,,,,,,,,,,,,,,,9,240,0,23,50,20,23.3,1010,16.8,0.70,Sat 25/03/2023 17:26
10,80,0,23,29.532,10,23.33,,,,,,,,,,,,,,,,,,,,,,10,80,0,23,10,20,23.3,1090,18.2,0.76,Sat 25/03/2023 18:46
11,80,0,23,49.220,10,23.33,,,,,,,,,,,,,,,,,,,,,,11,80,0,23,30,20,23.3,1170,19.5,0.81,Sat 25/03/2023 20:06
12,80,0,23,68.908,10,23.33,,,,,,,,,,,,,,,,,,,,,,12,80,0,23,50,20,23.3,1250,20.8,0.87,Sat 25/03/2023 21:26
13,120,0,23,93.517,10,23.33,,,,,,,,,,,,,,,,,,,,,,13,80,0,23,70,20,23.3,1330,22.2,0.92,Sat 25/03/2023 22:46
14,80,0,23,49.220,10,23.33,,,,,,,,,,,,,,,,,,,,,,14,80,0,23,95,20,23.3,1410,23.5,0.98,Sun 26/03/2023 0:06
15,60,0,50,29.615,10,50.33,,,,,,,,,,,,,,,,,,,,,,15,80,0,23,50,20,23.3,1490,24.8,1.03,Sun 26/03/2023 1:26
16,120,0,50,9.872,10,50.33,,,,,,,,,,,,,,,,,,,,,,16,240,0,50,50,20,50.3,1730,28.8,1.20,Sun 26/03/2023 5:26
17,80,0,50,29.615,10,50.33,,,,,,,,,,,,,,,,,,,,,,17,80,0,50,10,20,50.3,1810,30.2,1.26,Sun 26/03/2023 6:46
18,80,0,50,49.359,10,50.33,,,,,,,,,,,,,,,,,,,,,,18,80,0,50,30,20,50.3,1890,31.5,1.31,Sun 26/03/2023 8:06
19,80,0,50,69.102,10,50.33,,,,,,,,,,,,,,,,,,,,,,19,80,0,50,50,20,50.3,1970,32.8,1.37,Sun 26/03/2023 9:26
20,120,0,50,93.782,10,50.33,,,,,,,,,,,,,,,,,,,,,,20,80,0,50,70,20,50.3,2050,34.2,1.42,Sun 26/03/2023 10:46
21,80,0,50,49.359,10,50.33,,,,,,,,,,,,,,,,,,,,,,21,80,0,50,95,20,50.3,2130,35.5,1.48,Sun 26/03/2023 12:06
22,60,0,23,49.220,10,23.33,,,,,,,,,,,,,,,,,,,,,,22,80,0,50,50,20,50.3,2210,36.8,1.53,Sun 26/03/2023 13:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,240,0,23,50,20,23.3,2450,40.8,1.70,Sun 26/03/2023 17:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,240,0,5,50,20,5.3,2690,44.8,1.87,Sun 26/03/2023 21:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,80,0,5,10,20,5.3,2770,46.2,1.92,Sun 26/03/2023 22:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,80,0,5,30,20,5.3,2850,47.5,1.98,Mon 27/03/2023 0:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,80,0,5,50,20,5.3,2930,48.8,2.03,Mon 27/03/2023 1:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,80,0,5,70,20,5.3,3010,50.2,2.09,Mon 27/03/2023 2:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,80,0,5,95,20,5.3,3090,51.5,2.15,Mon 27/03/2023 4:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,80,0,5,50,20,5.3,3170,52.8,2.20,Mon 27/03/2023 5:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,300,0,23,50,20,23.3,3470,57.8,2.41,Mon 27/03/2023 10:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,80,0,23,10,20,23.3,3550,59.2,2.47,Mon 27/03/2023 11:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,80,0,23,30,20,23.3,3630,60.5,2.52,Mon 27/03/2023 13:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,80,0,23,50,20,23.3,3710,61.8,2.58,Mon 27/03/2023 14:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,80,0,23,70,20,23.3,3790,63.2,2.63,Mon 27/03/2023 15:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,80,0,23,95,20,23.3,3870,64.5,2.69,Mon 27/03/2023 17:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,80,0,23,50,20,23.3,3950,65.8,2.74,Mon 27/03/2023 18:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,300,0,50,50,20,50.3,4250,70.8,2.95,Mon 27/03/2023 23:26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,80,0,50,10,20,50.3,4330,72.2,3.01,Tue 28/03/2023 0:46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,80,0,50,30,20,50.3,4410,73.5,3.06,Tue 28/03/2023 2:06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,80,0,50,50,20,50.3,4490,74.8,3.12,Tue 28/03/2023 3:26
