a230325a_s14test,,,,,,
Points,Soak,Assured,t_2900,rH_2900,Q_2900,Julabo_HL
pt,soak,,HG2900.set_ts,HG2900.set_rh,HG2900.set_q,Julabo_HL.write_Tsp1
1,60,0,5,49.102,10,5.33
2,120,0,5,9.82,10,5.33
3,80,0,5,29.461,10,5.33
4,80,0,5,49.102,10,5.33
5,80,0,5,68.743,10,5.33
6,120,0,5,93.294,10,5.33
7,80,0,5,49.102,10,5.33
8,60,0,23,49.22,10,23.33
9,120,0,23,9.844,10,23.33
10,80,0,23,29.532,10,23.33
11,80,0,23,49.22,10,23.33
12,80,0,23,68.908,10,23.33
13,120,0,23,93.517,10,23.33
14,80,0,23,49.22,10,23.33
15,60,0,50,29.615,10,50.33
16,120,0,50,9.872,10,50.33
17,80,0,50,29.615,10,50.33
18,80,0,50,49.359,10,50.33
19,80,0,50,69.102,10,50.33
20,120,0,50,93.782,10,50.33
21,80,0,50,49.359,10,50.33
22,60,0,23,49.22,10,23.33
