a230327a_s14test,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,t_bath
,,,HG2500.set_ts,HG2500.set_rh_pc,HG2500.set_q,PC200.SS
1,60,0,5,30,15,20
2,180,0,5,10,15,4.5
3,80,0,5,30,15,4.5
4,80,0,5,50,15,4.5
5,80,0,5,70,15,4.5
6,120,0,5,95,15,4.5
7,80,0,5,50,15,4.5
8,60,0,23,50,15,22.75
9,180,0,23,10,15,22.75
10,80,0,23,30,15,22.75
11,80,0,23,50,15,22.75
12,80,0,23,70,15,22.75
13,120,0,23,95,15,22.75
14,80,0,23,50,15,22.75
15,60,0,50,30,15,49.95
16,180,0,50,10,15,49.95
17,80,0,50,30,15,49.95
18,80,0,50,50,15,49.95
19,80,0,50,70,15,49.95
20,120,0,50,95,15,49.95
21,80,0,50,50,15,49.95
22,60,0,23,50,15,49.95
