a230327a_s14test,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,t_bath
,,,HG2500.set_ts,HG2500.set_rh_pc,HG2500.set_q,PC200.SS
1,180,0,5,10,15,4.5
2,80,0,5,30,15,4.5
3,80,0,5,50,15,4.5
4,80,0,5,70,15,4.5
5,120,0,5,95,15,4.5
6,80,0,5,70,15,4.5
7,80,0,5,50,15,4.5
8,80,0,5,30,15,4.5
9,80,0,5,10,15,4.5
10,180,0,23,10,15,22.75
11,80,0,23,30,15,22.75
12,80,0,23,50,15,22.75
13,80,0,23,70,7,22.75
14,120,0,23,95,7,22.75
15,80,0,23,70,7,22.75
16,80,0,23,50,15,22.75
17,80,0,23,30,15,22.75
18,80,0,23,10,15,22.75
19,180,0,50,10,7,49.95
20,80,0,50,30,7,49.95
21,80,0,50,50,7,49.95
22,80,0,50,70,7,49.95
23,120,0,50,95,7,49.95
24,80,0,50,70,7,49.95
25,80,0,50,50,7,49.95
26,80,0,50,30,7,49.95
27,80,0,50,10,7,49.95
