a230502_Biotec_MI70,,,,,,
Points,Soak,Assured,t_2900,fp_2900,Q_2900,t_bath
,,,HG2900.set_ts,HG2900.set_fp,HG2900.set_q,Julabo_HL.write_Tsp1
1,300,0,22,-3.205984901,15,20.35
2,60,0,22,4.092819546,15,20.35
3,60,0,22,9.275542427,15,20.35
4,60,0,22,13.22948782,15,20.35
5,60,0,22,16.44837996,15,20.35
6,90,0,22,19.17491756,15,20.35
7,60,0,22,16.44837996,15,20.35
8,60,0,22,13.22948782,15,20.35
9,60,0,22,9.275542427,15,20.35
10,60,0,22,4.092819546,15,20.35
11,60,0,22,-3.205984901,15,20.35
12,300,0,2,-18.23152899,15,0.35
13,60,0,2,-12.17638453,15,0.35
14,60,0,2,-8.164169331,15,0.35
15,60,0,2,-5.132843765,15,0.35
16,60,0,2,-2.683931962,15,0.35
17,120,0,2,-0.622816477,15,0.35
18,60,0,2,-2.683931962,15,0.35
19,60,0,2,-5.132843765,15,0.35
20,60,0,2,-8.164169331,15,0.35
21,60,0,2,-12.17638453,15,0.35
22,60,0,2,-18.23152899,15,0.35
23,300,0,2,-22.3044,15,-19.65
24,120,0,-10,-33.5,15,-19.65
25,60,0,-10,-30.48769604,15,-19.65
26,60,0,-10,-27.02340994,15,-19.65
27,60,0,-10,-24.41132854,15,-19.65
28,60,0,-10,-22.30442511,15,-19.65
29,120,0,2,-22.30442511,15,-19.65
30,120,0,2,-20.53345599,15,-19.65
31,60,0,2,-22.30442511,15,-19.65
32,120,0,-10,-22.30442511,15,-19.65
33,60,0,-10,-24.41132854,15,-19.65
34,60,0,-10,-27.02340994,15,-19.65
35,60,0,-10,-30.48769604,15,-19.65
36,60,0,-10,-33.5,15,-19.65
37,180,0,2,-18.23152899,15,0.35
38,60,0,2,-12.17638453,15,0.35
39,60,0,2,-8.164169331,15,0.35
40,60,0,2,-5.132843765,15,0.35
41,60,0,2,-2.683931962,15,0.35
42,120,0,2,-0.622816477,15,0.35
43,60,0,2,-2.683931962,15,0.35
44,60,0,2,-5.132843765,15,0.35
45,60,0,2,-8.164169331,15,0.35
46,60,0,2,-12.17638453,15,0.35
47,60,0,2,-18.23152899,15,0.35
48,180,0,22,-3.205984901,15,20.35
49,60,0,22,4.092819546,15,20.35
50,60,0,22,9.275542427,15,20.35
51,60,0,22,13.22948782,15,20.35
52,60,0,22,16.44837996,15,20.35
53,90,0,22,19.17491756,15,20.35
54,60,0,22,16.44837996,15,20.35
55,60,0,22,13.22948782,15,20.35
56,60,0,22,9.275542427,15,20.35
57,60,0,22,4.092819546,15,20.35
58,60,0,22,-3.205984901,15,20.35
59,180,0,42,12.79691046,15,40.35
60,60,0,42,21.63239356,15,40.35
61,60,0,42,27.59400884,15,40.35
62,60,0,42,32.15687275,15,40.35
63,60,0,42,35.88096937,15,40.35
64,90,0,42,39.04216112,15,40.35
65,60,0,42,35.88096937,15,40.35
66,60,0,42,32.15687275,15,40.35
67,60,0,42,27.59400884,15,40.35
68,60,0,42,21.63239356,15,40.35
69,60,0,42,12.79691046,15,40.35
70,180,0,62,28.94095531,15,60.35
71,60,0,62,38.97044468,15,60.35
72,60,0,62,45.76873695,15,60.35
73,60,0,62,50.98936767,15,60.35
74,60,0,62,55.2618603,15,60.35
75,90,0,62,58.8969861,15,60.35
76,60,0,62,55.2618603,15,60.35
77,60,0,62,50.98936767,15,60.35
78,60,0,62,45.76873695,15,60.35
79,60,0,62,38.97044468,15,60.35
80,60,0,62,28.94095531,15,60.35
81,300,0,42,12.79691046,15,40.35
82,60,0,42,21.63239356,15,40.35
83,60,0,42,27.59400884,15,40.35
84,60,0,42,32.15687275,15,40.35
85,60,0,42,35.88096937,15,40.35
86,90,0,42,39.04216112,15,40.35
87,60,0,42,35.88096937,15,40.35
88,60,0,42,32.15687275,15,40.35
89,60,0,42,27.59400884,15,40.35
90,60,0,42,21.63239356,15,40.35
91,60,0,42,12.79691046,15,40.35
