a230531_SH_MassSTDS.csv,,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500,Current
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q,microK.write_current
1,90,0,22.5,20,15,1
2,30,0,22.5,20,15,1.414213562
3,30,0,22.5,20,15,1
4,50,0,22.5,35,15,1
5,50,0,22.5,50,15,1
6,50,0,22.5,65,15,1
7,60,0,22.5,80,15,1
8,30,0,22.5,80,15,1.414213562
9,30,0,22.5,80,15,1
10,50,0,22.5,65,15,1
11,50,0,22.5,50,15,1
12,50,0,22.5,35,15,1
13,50,0,22.5,20,15,1
14,30,0,22.5,20,15,1.414213562
15,180,0,18.5,20,15,1
16,50,0,18.5,35,15,1
17,50,0,18.5,50,15,1
18,50,0,18.5,65,15,1
19,90,0,18.5,80,15,1
20,50,0,18.5,65,15,1
21,50,0,18.5,50,15,1
22,50,0,18.5,35,15,1
23,50,0,18.5,20,15,1
