a230601_S14_TS2500.csv,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,60,0,23,50,15
2,120,0,5,50,15
3,180,0,5,10,15
4,120,0,5,30,15
5,120,0,5,50,15
6,120,0,5,70,15
7,120,0,5,90,15
8,180,0,5,95,15
9,120,0,5,90,15
10,120,0,5,50,15
11,120,0,23,50,15
12,180,0,23,10,15
13,120,0,23,30,15
14,120,0,23,50,15
15,120,0,23,70,15
16,120,0,23,90,15
17,180,0,23,95,15
18,120,0,23,90,15
19,120,0,23,50,15
20,120,0,50,50,15
21,180,0,50,10,15
22,120,0,50,30,15
23,120,0,50,50,15
24,120,0,50,70,15
25,120,0,50,90,15
26,180,0,50,95,15
27,120,0,50,90,15
28,120,0,50,50,15
29,60,0,23,50,15
30,240,0,5,50,15
31,180,0,5,10,15
32,120,0,5,30,15
33,120,0,5,50,15
34,120,0,5,70,15
35,120,0,5,90,15
36,180,0,5,95,15
37,120,0,5,90,15
38,120,0,5,50,15
39,120,0,23,50,15
40,180,0,23,10,15
41,120,0,23,30,15
42,120,0,23,50,15
43,120,0,23,70,15
44,120,0,23,90,15
45,180,0,23,95,15
46,120,0,23,90,15
47,120,0,23,50,15
48,120,0,50,50,15
49,180,0,50,10,15
50,120,0,50,30,15
51,120,0,50,50,15
52,120,0,50,70,15
53,120,0,50,90,15
54,180,0,50,95,15
55,120,0,50,90,15
56,120,0,50,50,15
57,60,0,23,50,15
58,240,0,5,50,15
59,180,0,5,10,15
60,120,0,5,30,15
61,120,0,5,50,15
62,120,0,5,70,15
63,120,0,5,90,15
64,180,0,5,95,15
65,120,0,5,90,15
66,120,0,5,50,15
67,120,0,23,50,15
68,180,0,23,10,15
69,120,0,23,30,15
70,120,0,23,50,15
71,120,0,23,70,15
72,120,0,23,90,15
73,180,0,23,95,15
74,120,0,23,90,15
75,120,0,23,50,15
76,120,0,50,50,15
77,180,0,50,10,15
78,120,0,50,30,15
79,120,0,50,50,15
80,120,0,50,70,15
81,120,0,50,90,15
82,180,0,50,95,15
83,120,0,50,90,15
84,120,0,50,50,15
85,180,0,23,50,15
