a230610_S14_TS2500_drift_repeat180329.csv,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,15,0,23,50,15
2,15,0,23,10,15
3,15,0,23,30,15
4,15,0,23,50,15
5,15,0,23,70,15
6,15,0,23,90,15
7,15,0,23,50,15
8,180,0,5,50,15
9,70,0,5,10,15
10,70,0,5,30,15
11,70,0,5,50,15
12,70,0,5,70,15
13,70,0,5,90,15
14,70,0,5,50,15
15,180,0,23,50,15
16,70,0,23,10,15
17,70,0,23,30,15
18,70,0,23,50,15
19,70,0,23,70,15
20,70,0,23,90,15
21,70,0,23,50,15
22,180,0,50,50,15
23,70,0,50,10,15
24,70,0,50,30,15
25,70,0,50,50,15
26,70,0,50,70,15
27,70,0,50,90,15
28,70,0,50,50,15
29,180,0,23,50,15
30,180,0,5,50,15
31,70,0,5,10,15
32,70,0,5,30,15
33,70,0,5,50,15
34,70,0,5,70,15
35,70,0,5,90,15
36,70,0,5,50,15
37,180,0,23,50,15
38,70,0,23,10,15
39,70,0,23,30,15
40,70,0,23,50,15
41,70,0,23,70,15
42,70,0,23,90,15
43,70,0,23,50,15
44,180,0,50,50,15
45,70,0,50,10,15
46,70,0,50,30,15
47,70,0,50,50,15
48,70,0,50,70,15
49,70,0,50,90,15
50,70,0,50,50,15
51,180,0,23,50,15
52,180,0,5,50,15
53,70,0,5,10,15
54,70,0,5,30,15
55,70,0,5,50,15
56,70,0,5,70,15
57,70,0,5,90,15
58,70,0,5,50,15
59,180,0,23,50,15
60,70,0,23,10,15
61,70,0,23,30,15
62,70,0,23,50,15
63,70,0,23,70,15
64,70,0,23,90,15
65,70,0,23,50,15
66,180,0,50,50,15
67,70,0,50,10,15
68,70,0,50,30,15
69,70,0,50,50,15
70,70,0,50,70,15
71,70,0,50,90,15
72,70,0,50,50,15
73,180,0,23,50,15
74,180,0,23,50,15
