a230614_S14_TS2500 tsSat check,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,180,0,50,50,20
2,70,0,50,10,7.5
3,70,0,50,30,7.5
4,70,0,50,50,7.5
5,70,0,50,70,7.5
6,70,0,50,90,7.5
7,70,0,50,10,20
8,70,0,50,30,20
9,70,0,50,50,20
10,70,0,50,70,20
11,70,0,50,90,20
12,70,0,5,50,15
13,70,0,5,70,15
14,70,0,5,90,15
15,70,0,5,50,15
16,180,0,23,50,15
17,70,0,23,10,15
18,70,0,23,30,15
19,70,0,23,50,15
20,70,0,23,70,15
21,70,0,23,90,15
22,70,0,23,50,15
23,180,0,50,50,15
24,70,0,50,10,15
25,70,0,50,30,15
26,70,0,50,50,15
27,70,0,50,70,15
28,70,0,50,90,15
29,70,0,50,50,15
30,180,0,23,50,15
31,180,0,5,50,15
32,70,0,5,10,15
33,70,0,5,30,15
34,70,0,5,50,15
35,70,0,5,70,15
36,70,0,5,90,15
37,70,0,5,50,15
38,180,0,23,50,15
39,70,0,23,10,15
40,70,0,23,30,15
41,70,0,23,50,15
42,70,0,23,70,15
43,70,0,23,90,15
44,70,0,23,50,15
45,180,0,50,50,15
46,70,0,50,10,15
47,70,0,50,30,15
48,70,0,50,50,15
49,70,0,50,70,15
50,70,0,50,90,15
51,70,0,50,50,15
52,180,0,23,50,15
53,180,0,23,50,15
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
