a230621_FPHC_Optidew401_TS2500_DP,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,180,0,21.00,26.24,15.00
2,70,0,21.00,49.05,15.00
3,70,0,21.00,68.13,15.00
4,70,0,21.00,82.47,15.00
5,90,0,21.00,93.44,15.00
6,70,0,21.00,68.13,15.00
7,70,0,21.00,26.24,15.00
8,180,0,31.00,14.52,15.00
9,70,0,31.00,27.14,15.00
10,70,0,31.00,51.71,15.00
11,70,0,31.00,70.08,15.00
12,90,0,31.00,93.90,15.00
13,70,0,31.00,51.71,15.00
14,70,0,31.00,27.14,15.00
15,180,0,41.00,11.13,15.00
16,70,0,41.00,29.86,15.00
17,70,0,41.00,54.22,15.00
18,70,0,41.00,71.88,15.00
19,90,0,41.00,94.32,15.00
20,70,0,41.00,54.22,15.00
21,70,0,41.00,21.77,15.00
22,180,0,51.00,13.06,15.00
23,70,0,51.00,32.53,15.00
24,70,0,51.00,56.59,15.00
25,70,0,51.00,73.54,15.00
26,70,0,51.00,94.70,15.00
27,70,0,51.00,56.59,15.00
28,70,0,51.00,17.91,15.00
29,180,0,36.00,14.58,15.00
30,70,0,36.00,28.50,15.00
31,70,0,36.00,52.98,15.00
32,70,0,36.00,70.99,15.00
33,90,0,36.00,94.12,15.00
34,70,0,36.00,20.52,15.00
35,70,0,36.00,14.58,15.00
36,180,0,21.00,26.24,15.00
37,70,0,21.00,49.05,15.00
38,70,0,21.00,68.13,15.00
39,70,0,21.00,82.47,15.00
40,90,0,21.00,93.44,15.00
41,70,0,21.00,68.13,15.00
42,90,0,21.00,26.24,15.00
