a230627_TS2500_CheckTs,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,30,0,21,10,15
2,30,0,21,40,15
3,30,0,21,70,15
4,30,0,21,95,15
5,30,0,21,70,15
6,30,0,21,40,15
7,30,0,21,10,15
8,120,0,51,10,15
9,30,0,21,40,15
10,30,0,51,70,15
11,30,0,51,95,15
12,30,0,51,70,15
13,30,0,51,40,15
14,30,0,51,10,15
15,120,0,61,10,15
16,30,0,61,40,15
17,30,0,61,70,15
18,30,0,61,95,15
19,30,0,61,70,15
20,30,0,61,40,15
21,30,0,61,10,15
22,120,0,71,10,15
23,30,0,71,40,15
24,30,0,71,70,15
25,30,0,71,95,15
26,30,0,71,70,15
27,30,0,71,40,15
28,30,0,71,10,15
29,120,0,36,10,15
30,30,0,36,40,15
31,30,0,36,70,15
32,30,0,36,95,15
33,30,0,36,70,15
34,30,0,36,40,15
35,30,0,36,10,15
36,120,0,21,10,15
37,30,0,21,40,15
38,30,0,21,70,15
39,30,0,21,95,15
40,30,0,21,70,15
41,30,0,21,40,15
42,30,0,21,10,15
